Date,Événement 1,Événement 2, Net sales total , Net sales QC , Net sales ROC , Net sales USA , Total Ad Spend ,ROAS global,, QC Meta Ad spend  , ROAS QC ,, USA Meta Ad Spend , ROAS USA ,, ROC Meta Ad spend  , ROAS ROC , La Presse , Autre Ad Numérique ,% pub total,% pub QC,% pub ROC,% pub USA,Website sessions,Nb. of Orders,Conv. rate,AOV,$/session,Commentaires/constats, Dépensé 2023A - FB Post Foulard  ," CPA 
2023A - FB Post Foulard ", Dépensé - 2023A - FB Post Prévente , CPA - 2023A - FB Post Prévente , Dépensé 2023A - FB Post Sac Lunch , CPA 2023A - FB Post Sac Lunch , Dépensé 2023A - APM prévente post , CPA 2023A - APM prévente post , Dépensé 2023A - FB Post Semelles ,  CPA 2023A - FB Post Semelles  , Dépensé 2023A - FB Post Bandeaux  ," CPA 
2023A - FB Post Bandeaux "
All time,AVERAGES,," $ 1,745.93 ",,,, $ 617.90 ,2.83,, $ 248.18 ,,, $ 250.34 ,,, $ 58.75 ,,,,35.39%,#DIV/0!,#DIV/0!,#DIV/0!,852,23.33,2.74%,$66.50,$1.76,,,,,,,,,,,,,
9/17/2023,Réactivation campagne graines automne / campagne mega post automne,20$/j sur LAS FR et 20$/j sur APM FR. 25$/j sur M&M. Tous les posts legacy + nouveau post été + post automne," $ 1,739.43 ",,,,,25.39,, $ 68.51 ,,,,,,,,,,3.94%,#DIV/0!,#DIV/0!,#DIV/0!,377,23,6.10%,$75.63,$4.61,,,,,,,,,,,,,
9/18/2023,,, $ 487.27 ,,,,,5.45,, $ 89.47 ,,,,,,,,,,18.36%,#DIV/0!,#DIV/0!,#DIV/0!,411,14,3.41%,$34.81,$1.19,,,,,,,,,,,,,
9/19/2023,,, $ 496.11 ,,,,,5.77,, $ 85.93 ,,,,,,,,,,17.32%,#DIV/0!,#DIV/0!,#DIV/0!,326,12,3.68%,$41.34,$1.52,,,,,,,,,,,,,
9/20/2023,,, $ 760.19 ,,,,,9.14,, $ 83.14 ,,,,,,,,,,10.94%,#DIV/0!,#DIV/0!,#DIV/0!,329,12,3.65%,$63.35,$2.31,,,,,,,,,,,,,
9/21/2023,Création campagne média 23-24 + ajustement budget mega post,"Le ROAS de la campagne traffic mega post semble bon mais ça peut être skewed a cause de la prévente. Néanmoins, augmenté de 10$ à 20$ et Awareness ramené de 10 à 5. Ajout de Geo Plein air et Magazine LIGNE à la nouvelle campagne media qui est a 20$ par jour", $ 435.09 ,,,,,4.14,, $ 105.18 ,,,,,,,,,,24.17%,#DIV/0!,#DIV/0!,#DIV/0!,486,9,1.85%,$48.34,$0.90,,,,,,,,,,,,,
9/22/2023,Post FB organique prévente + pub 20$/jour dessus,fonctions advantage audience et multi-advertiser activées, $ 355.39 ,,,,,3.57,, $ 99.56 ,,,,,,,,,,28.01%,#DIV/0!,#DIV/0!,#DIV/0!,461,14,3.04%,$25.39,$0.77,,,,,,,,,,,,,
9/23/2023,,," $ 5,442.20 ",,,,,52.96,, $ 102.77 ,,,,,,,,,,1.89%,#DIV/0!,#DIV/0!,#DIV/0!,1389,82,5.90%,$66.37,$3.92,,,,,,,,,,,,,
9/24/2023,,," $ 2,605.26 ",,,,,22.21,, $ 117.28 ,,,,,,,,,,4.50%,#DIV/0!,#DIV/0!,#DIV/0!,969,46,4.75%,$56.64,$2.69,,,,,,,,,,,,,
9/25/2023,Monter la pub Prévente à 50$/jour,," $ 2,189.91 ",,,,,15.84,, $ 138.24 ,,,,,,,,,,6.31%,#DIV/0!,#DIV/0!,#DIV/0!,678,36,5.31%,$60.83,$3.23,,,,,,,,,,,,,
9/26/2023,,," $ 1,629.46 ",,,,,11.32,, $ 143.89 ,,,,,,,,,,8.83%,#DIV/0!,#DIV/0!,#DIV/0!,688,29,4.22%,$56.19,$2.37,,,,,,,,,,,,,
9/27/2023,Pub graines augmentation budget,"M&M 20$/jour a 60, APM 20$/jour a 60, LAS 20$ à 40"," $ 1,263.07 ",,,,,5.89,, $ 214.42 ,,,,,,,,,,16.98%,#DIV/0!,#DIV/0!,#DIV/0!,682,33,4.84%,$38.27,$1.85,,,,,,,,,,,,,
9/28/2023,,," $ 1,022.31 ",,,,,4.46,, $ 229.01 ,,,,,,,,,,22.40%,#DIV/0!,#DIV/0!,#DIV/0!,635,26,4.09%,$39.32,$1.61,,,,,,,,,,,,,
9/29/2023,,," $ 1,339.42 ",,,,,5.89,, $ 227.31 ,,,,,,,,,,16.97%,#DIV/0!,#DIV/0!,#DIV/0!,633,31,4.90%,$43.21,$2.12,,,,,,,,,,,,,
9/30/2023,,, $ 550.75 ,,,,,2.57,, $ 214.50 ,,,,,,,,,,38.95%,#DIV/0!,#DIV/0!,#DIV/0!,648,15,2.31%,$36.72,$0.85,,,,,,,,,,,,,
10/1/2023,,," $ 1,206.72 ", $ 988.70 , $ 218.02 , $ (0.00),,4.84,, $ 249.48 ,,,,,,,,,,20.67%,25.23%,0.00%,0.00%,904,29,3.21%,$41.61,$1.33,,,,,,,,,,,,,
10/2/2023,"Monter la pub prévente à 75$/jour /// La pub devient ""Contenu publicitaire limité""",," $ 1,221.44 ", $ 916.54 , $ 304.90 , $ 0.00 ,,4.70,, $ 259.75 ,,,,,,,,,,21.27%,28.34%,0.00%,0.00%,944,34,3.60%,$35.92,$1.29,,,,,,,,,,,,,
