campaign_id,name,channel,send_time,recipients,open_rate,click_rate,conversions,conversion_value,rpr,unsub_rate
01HACSGT9WJEH0PAYW4A5ZXD5A,Réchauffement #2 prévente automnale 2023,email,"September 15, 2023, 16:30",21007,0.47633,0.0452,179,17784.5001,0.84797,0.00663
01HVWVX7N7HMHNYSQQANZF053A,Bombes asclépiade,email,"April 20, 2024, 12:00",22966,0.46339,0.02404,152,9486.87998,0.4154,0.00709
01HWF3XQMYDH85HDYG3MMAN3M7,Bombes florales,email,"April 27, 2024, 12:00",22904,0.43687,0.03503,109,9162.77001,0.40223,0.0065
01HAW25S7E1HV5AEBZ5VF4ZQD8,Suivi #1 NON-ACHETEUR prévente automnale 2023,email,"September 23, 2023, 12:00",20714,0.46671,0.04028,97,8008.00002,0.38725,0.00624
01HNDKDQ3G59FCPG3Q2MYY56HP,Vente Relâche FR,email,"February 24, 2024, 08:00",23431,0.47973,0.03273,52,6261.5,0.26856,0.0139
01HSMFM4XFN248VM5XBHZ1Z8NQ,Vente de fin de saison 2024,email,"March 23, 2024, 12:00",23222,0.47889,0.05123,52,6152.69998,0.26667,0.0101
01HS5FYGYJKC9PHM49R5XQAG0H,Mitaines de four,email,"March 17, 2024, 12:00",22854,0.49004,0.07716,72,5888.38003,0.25889,0.01231
01HG35WQWJB0H5Z5MY2R0TWTGT,(FR) Rappel BFCM cartes-cadeaux,email,"November 25, 2023, 12:45",20837,0.40233,0.02184,40,5628.63002,0.27202,0.00962
01HYPMBRKNMK5CRGYKZGTF6TR6,Besace - glacières mai 2024,email,"May 25, 2024, 12:00",22837,0.75202,0.46674,48,5301.97008,0.23324,0.00726
01HCT311A7YYMXEJYG6WF5GR8R,(FR) Automne bandeaux etc.,email,"October 15, 2023, 16:45",21059,0.47072,0.03843,51,5159.07997,0.2454,0.00766
01HM1MMABDZR6H62XY6NYGQE0M,cache-cous + foulards,email,"January 13, 2024, 15:04",23484,0.46728,0.04104,47,4727.13,0.2023,0.01579
01J0YTK8E2HMSNXZG0MK2MPVVE,Été,email,"June 22, 2024, 11:00",22656,0.76597,0.02537,42,4110.36999,0.18233,0.00719
01HF1XMFNNRESDBR91A31K5WG3,(FR) BFCM cartes-cadeaux,email,"November 12, 2023, 14:23",20099,0.45815,0.02084,34,3968.09998,0.19828,0.01039
01J35ZWZF5XP0MQSCXN6RKM7JT,Juillet bundles FR,email,"July 20, 2024, 12:00",22447,0.41578,0.04601,33,3925.10004,0.17584,0.00923
01HMKFADZCPCD24NKM68T9XYED,Rappel cache-cous + foulards,email,"January 20, 2024, 13:15",23069,0.44632,0.0234,41,3768.09999,0.1639,0.01509
01J23V5EV2VG28GDY25A1QAJJS,Juillet bombes et plus,email,"July 06, 2024, 12:15",22572,0.41728,0.03616,43,3583.08002,0.15957,0.01002
01J5E6R2J36NK1XGEKRBK77SE7,Sacs à vin + étuis FR,email,"August 17, 2024, 12:00",20250,0.46882,0.07264,26,2992.90997,0.14849,0.00918
01HVWYRCF2TGDDNBNQG52TK3GT,Milkweed bombs,email,"April 20, 2024, 13:00",6355,0.42291,0.02469,45,2986.95004,0.47578,0.00749
01J0D17Z7F76EWXFMH9Q6YH1BW,Cosmétiques prévente,email,"June 15, 2024, 11:30",1170,0.85959,0.5899,29,2666.50003,2.28296,0.00171
01HZTVZ10D9N869BJQ8PYQST6J,Rappel Bombes fr,email,"June 08, 2024, 12:00",22303,0.76658,0.48975,39,2504.43,0.11279,0.0059
01HXKJYX7NDB605XNZPAZ2WNQ6,Réchauffement glacière #1 (clone),email,"May 11, 2024, 13:15",22913,0.4382,0.0363,23,2469.60003,0.1084,0.00619
01HQBNJHJ2ASA2Y7Y002APBVZM,Campagne nationale plantation,email,"March 02, 2024, 13:00",22869,0.47548,0.04209,64,2463.16999,0.10833,0.01108
