campaign_id,name,channel,send_time,recipients,open_rate,click_rate,conversions,conversion_rate,conversion_value,rpr,unsub_rate
01JWJ5AR7X9N9CVG8SGNBY4JX5,Réchauffement manteaux #3,email,"May 31, 2025, 12:00",24659,0.48078,0.03886,155,0.00633,38843.41006,1.58545,0.00837
01J7P6ZS1K71FSXJND79QAJ9XF,Réchauffement #3 FR Prévente,email,"September 13, 2024, 17:36",22034,0.42512,0.04902,135,0.00612,16833.26997,0.76833,0.00671
01JK0G2WVPFWR2D8QMK4QXG6VQ,Vente de fin de saison 2025,email,"February 01, 2025, 13:00",23955,0.47902,0.06236,148,0.00622,15809.29994,0.66476,0.00967
01J7PFMV3XC1B3BNQ22GJ7RR33,"SMS Campaign - Sep 13, 2024, 4:01 PM",sms,"September 14, 2024, 13:00",15757,0,0.26544,128,0.00938,14643.46998,1.08182,0.12145
01JCR75GNYAT9S2XP0J71NPH1F,Promo novembre 16 nov,email,"November 16, 2024, 13:00",25599,0.43632,0.0238,50,0.00197,7114.89997,0.27993,0.01711
01JM36AZ94G16RCCYNYCRX6RZY,Rappel - fin de saison 25 + réchauffement jardin,email,"February 15, 2025, 13:00",23850,0.48555,0.05964,69,0.00291,7050.56999,0.29697,0.01074
01JBQSAGRD976253RYW0W7QMEQ,Promo novembre,email,"November 03, 2024, 13:00",25891,0.43548,0.03819,50,0.00194,6538.18999,0.25372,0.0201
01JWE51G5NN2QFFAG2WB3Z8CYN,Réchauffement manteaux #2,email,"May 29, 2025, 18:00",24797,0.48727,0.06125,25,0.00102,6359.03998,0.25828,0.00707
01JE07ECBFYXHBKMPMQYAERE9K,Concours - annonce finale,email,"December 01, 2024, 13:00",24006,0.4519,0.01495,46,0.00184,6285.92002,0.26328,0.01876
01JNTWGC31V66ENR7DTR26D0ES,Dernier rappel - fin de saison 2025 + manteau + recyclage + réchauffement jardin 2,email,"March 08, 2025, 15:03",24543,0.53126,0.06861,60,0.00245,5468.58997,0.22346,0.00866
01J8T9XTPHWJRKNDSJENX59W8B,Précommande follow-up FR non-acheteur,email,"September 28, 2024, 12:00",21693,0.42276,0.04758,51,0.00227,5396.89001,0.25028,0.00788
01JTACT5RE6JCQVBF69J082Y82,Précommande été 2025,email,"May 03, 2025, 12:00",24820,0.49162,0.05359,55,0.00223,5225.42005,0.21166,0.00968
01JF1S861EMHN4XV4P6E3A0TQY,Cutoff décembre,email,"December 14, 2024, 13:00",23870,0.45722,0.01184,43,0.00177,5126.87004,0.216,0.01218
01JX41PPB6ZEFNKAT7HHA8QD1R,Rappel manteaux  + fin saison bombes,email,"June 07, 2025, 12:00",24115,0.48471,0.03025,30,0.00125,4688.14995,0.19561,0.00947
01JF2YR84HZEAFTQS8ANSKK5X9,Cutoff décembre (clone),email,"December 15, 2024, 13:45",23620,0.46499,0.0166,41,0.00175,4300.45001,0.18305,0.01196
01JK0SJXWC35K2CYGXWHH4T8KE,[Follow-up] Vente de fin de saison 2025,email,"February 08, 2025, 13:00",6369,0.53139,0.06719,42,0.00645,3930.03999,0.61842,0.01054
01JRGJ69EY9FVS6Y3MSBN4K5DS,Bombes 12 avril 2024,email,"April 12, 2025, 08:00",24487,0.47373,0.01836,52,0.00213,3600.96998,0.14757,0.00832
01J9YBFY7PF6BB9ECPJ78Q8EPG,(FR) Automne bandeaux etc. (clone),email,"October 12, 2024, 12:00",26507,0.41321,0.02698,28,0.00106,3080.11997,0.11688,0.02641
01JHYJBD5JC6Y00VHEAHA8RHVH,Imparfait + asclépiade,email,"January 19, 2025, 13:00",24035,0.51173,0.12425,48,0.00201,3067.79,0.12847,0.01353
01J74T6R434H8WSBWZC12BQX7V,Réchauffement #2 FR Prévente,email,"September 07, 2024, 12:00",22215,0.42688,0.06108,18,0.00081,2190.28003,0.09917,0.00801
01JPYZV65Z08TQSX4HAZ1M0J32,CAMPAGNE PLANTATION 2025,email,"March 22, 2025, 13:47",23996,0.49336,0.01563,34,0.00138,2133.75001,0.08916,0.00752
01JZWQJMSSEQ3RMDX0SX8R0Q9H,Juillet bombes et plus 2025,email,"July 12, 2025, 11:45",20494,0.53416,0.03426,34,0.00166,1928.11,0.09437,0.01375
