campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01KSVFGFHWHMS8FPR1BRH1GM73,Réchauffement prévente 2026 #4,email,"May 30, 2026, 11:00",19103,19100,0.5334,0.0534,330,0.01691,52159.45997,158.05897,2.73086,0.00555,0.00058
01K4X7Q0CHJE6V54862V8W7PGP,Réchauffement #4 FR Prévente 2025,email,"September 13, 2025, 11:55",21286,21275,0.53424,0.04855,180,0.00832,26394.5601,146.63645,1.24064,0.00954,9e-05
01KA1DRDD4HJ44AE8PYAKWKF26,warmup EN traduit FR,email,"November 15, 2025, 12:00",18975,18968,0.50348,0.0184,38,0.002,11047.92,290.73474,0.58245,0.00527,0.00211
01KFQQCYP5VWF921DR2V6N2ZJ8,Vente de fin de saison 2026,email,"January 24, 2026, 13:00",20489,20436,0.54517,0.06381,91,0.0044,10637.32002,116.89363,0.52052,0.00739,5e-05
01KGST4S7YYJPVRSWSKVPTXJ23,Vente de fin de saison 2026 (#2),email,"February 07, 2026, 11:30",20431,20394,0.54089,0.03604,80,0.00392,10150.35001,126.87938,0.49771,0.00814,5e-05
01KFTNJD7WG88F2YKNQFX70G64,Vente de fin de saison 2026 (erratum),email,"January 25, 2026, 13:45",20327,20281,0.5406,0.02465,85,0.00419,9340.28005,109.88565,0.46054,0.01006,5e-05
01KSQ4N8RP8S7WVP8PKS0TBZ3F,Réchauffement prévente 2026 #3 - video cache-cou,email,"May 28, 2026, 12:15",19197,19192,0.55737,0.10228,61,0.00313,8618.5,141.28689,0.44907,0.00516,5e-05
01KPG8655CZG3R3FWQ7FQTSPTC,Cosmétiques prévente (clone),email,"April 18, 2026, 13:50",20187,20176,0.57464,0.06151,100,0.00496,7547.03005,75.4703,0.37406,0.00753,0.0001
01KSZ2CG0DQ86XH07GH0XVBH43,Réchauffement prévente 2026 remerciement,email,"May 31, 2026, 13:24",21273,21221,0.48598,0.02634,53,0.00245,7183.74999,135.54245,0.33852,0.009,9e-05
01K4TKZYJKRWVGTTMNFWYYWJ7H,Réchauffement #3 FR Prévente 2025,email,"September 11, 2025, 14:30",12967,12963,0.81254,0.05277,40,0.00309,6348.47003,158.71175,0.48974,0.01065,0.00031
01KBSSGSVZ5C09XM0GNQRDC5MY,"Campaign Dec 6, 2025, 7:17 AM",email,"December 06, 2025, 13:30",18938,18909,0.5169,0.01571,50,0.00259,6002.05999,120.0412,0.31742,0.00635,0.00011
01K8XE6FNF6QJ55MZ2FYAQ3VED,Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque,email,"November 01, 2025, 12:00",19297,19285,0.51766,0.01509,34,0.00171,5793.16997,170.38735,0.3004,0.00622,0.00016
01KCBQ25N3WRDP1SBPJ0ZQWEFR,Concours automne 2025 deadline,email,"December 13, 2025, 12:00",18175,18156,0.49003,0.00997,44,0.00231,5589.45,127.03295,0.30786,0.00672,0.00033
01KB6QTM717TJ7Z5882ZBZNRQS,Récolte infolettre nov,email,"November 29, 2025, 12:00",18742,18730,0.49525,0.01506,41,0.00219,5510.78002,134.40927,0.29422,0.00849,0.00117
01K9G42RSECX50ZANA68HK7DEK,Follow-up 3 Concours automne 2025 + Imparfaits,email,"November 08, 2025, 12:15",19174,19161,0.50937,0.019,47,0.0024,5135.85996,109.27362,0.26804,0.00595,0.00016
01KHXSSX9RMH0RWNRQ9WSEG8D2,Vente de fin de saison 2026 (#3) follow up,email,"February 21, 2026, 12:30",20823,20793,0.54768,0.03179,32,0.00154,4698.50001,146.82813,0.22597,0.00822,5e-05
01KQM4YQKWG0XFXB3ZWAG6DQW0,Précommande été 2026,email,"May 02, 2026, 11:30",19933,19922,0.52485,0.04713,55,0.00276,4592.52999,83.50055,0.23053,0.00743,0.0001
01K4X85QT1JD14QGZ3SC5AGREE,Warmup #4 EN presale 2025,email,"September 13, 2025, 11:55",10996,10962,0.47282,0.02281,30,0.00274,3524.50999,117.48367,0.32152,0.01523,0.00073
01KAMMHCGH44M4CS69MHAQ8MJQ,Concours automne 2025 + collab et matieres,email,"November 22, 2025, 12:00",18045,18040,0.50576,0.01979,31,0.00172,3427.54001,110.56581,0.19,0.00682,0.00011
01KDFY37YXYPE5T9BGVT4JCYJ5,Boxing day,email,"December 27, 2025, 13:30",18754,18738,0.52578,0.027,34,0.00181,3336.71001,98.13853,0.17807,0.01227,0.00016
01K7Q0EEBHZKBJYT9V136S0MG9,Concours automne 2025,email,"October 18, 2025, 11:30",19478,19462,0.53407,0.024,23,0.00118,3246.02998,141.13174,0.16679,0.00735,5e-05
01K5J6W1DRQECVWR86YXTMZ6FT,Précommande follow-up FR non-acheteur,email,"September 20, 2025, 12:00",18826,18814,0.58441,0.03008,25,0.00133,3137.05,125.482,0.16674,0.00935,0.00011
01KBJ8Q2DGN26GMQW7DMD4BFWW,follow-up mercredi Récolte infolettre nov,email,"December 03, 2025, 14:15",9929,9918,0.16394,0.01281,16,0.00161,2930.11001,183.13188,0.29543,0.00635,0.00111
01KKM8FZ5J2WRS2FXS75J0X7N4,Milkweed planting Campaign (2026) (US),email,"March 14, 2026, 13:00",8018,7979,0.43289,0.04537,46,0.00577,2499.8,54.34348,0.3133,0.00714,0.00025
01KCY5EEAEQRDPZBWE7W67ZV9J,Cartes-cadeaux,email,"December 20, 2025, 15:26",19613,19595,0.5134,0.0047,24,0.00102,2329.71,97.07125,0.11889,0.00684,0.00112
01KYWN0BGH0YTDF74WZEZRSNCN,2026-07-31 Infolettre FR - nouvelles ete + rentree,email,"August 02, 2026, 12:15",19040,18992,0.54249,0.06213,20,0.00105,2297.59002,114.8795,0.12098,0.00537,0.00042
01K9GQJ8AGFXMMRGZCTTAWCPST,fall contest + warmup EN,email,"November 08, 2025, 13:30",11473,11453,0.45944,0.01694,16,0.0014,2065.86001,129.11625,0.18038,0.01022,0.00035
