mois,date,nom,canal,destinataires,taux_ouverture,taux_clic,conversions,revenu,revenu_par_destinataire,taux_desabo
2023-08,2023-08-27,Suivi sac lunch + switch,email,196,0.81538,0,0,0,0,0
2023-09,2023-09-02,Réchauffement #1 prévente automnale 2023,email,21137,0.48818,0.07511,3,250.06001,0.01185,0.00796
2023-09,2023-09-02,WARMUP #1 Fall pre-sale 2023,email,5653,0.43886,0.03893,2,36.12,0.00642,0.01262
2023-09,2023-09-15,Réchauffement #2 prévente automnale 2023,email,21007,0.47633,0.0452,179,17784.5001,0.84797,0.00663
2023-09,2023-09-15,WARMUP #2 Fall pre-sale 2023,email,5571,0.43254,0.02471,19,2111.06003,0.38078,0.01172
2023-09,2023-09-23,Suivi #1 NON-ACHETEUR prévente automnale 2023,email,20714,0.46671,0.04028,97,8008.00002,0.38725,0.00624
2023-09,2023-09-23,Follow-up #1 NON-BUYER Fall presale 2023,email,5484,0.42192,0.02859,12,1054.34001,0.19324,0.0055
2023-09,2023-09-23,Suivi #1 ACHETEUR prévente automnale 2023,email,191,0.93684,0.1,0,0,0,0
2023-09,2023-09-23,(EN) follow-up #1 buyer Fall presale 2023,email,21,0.85714,0.04762,0,0,0,0
2023-10,2023-10-15,(FR) Automne bandeaux etc.,email,21059,0.47072,0.03843,51,5159.07997,0.2454,0.00766
2023-10,2023-10-15,(EN) Fall headbands etc.,email,5764,0.44088,0.03488,8,390.66999,0.06813,0.00907
2023-11,2023-11-12,(FR) BFCM cartes-cadeaux,email,20099,0.45815,0.02084,34,3968.09998,0.19828,0.01039
2023-11,2023-11-12,(FR) Suivi précommandes novembre 23,email,447,0.91704,0,1,252.89999,0.56704,0.00448
2023-11,2023-11-12,(EN) pre-order follow up,email,49,0.85417,0,0,0,0,0
2023-11,2023-11-18,Sepaq MTL,email,4069,0.4995,0.0052,4,324.16001,0.08024,0.00842
2023-11,2023-11-22,(FR) Suivi précommandes (24oct-21nov),email,686,0.85882,0,2,275.83,0.40563,0.00147
2023-11,2023-11-22,(EN) pre-order follow up 25oct-21nov,email,21,0.7619,0,0,0,0,0
2023-11,2023-11-25,(FR) Rappel BFCM cartes-cadeaux,email,20837,0.40233,0.02184,40,5628.63002,0.27202,0.00962
2023-11,2023-11-25,(EN) BFCM cartes-cadeaux,email,5863,0.38671,0.01229,2,402.38,0.06965,0.01593
2023-12,2023-12-09,Campagne retard décembre 23,email,1514,0.88286,0,3,194.87,0.12897,0.00331
2023-12,2023-12-09,(EN) late delivery decembre 23 Campaign,email,77,0.82895,0,0,0,0,0
2023-12,2023-12-26,Boxing week,email,23560,0.44685,0.0139,21,1719.62,0.07332,0.02345
2024-01,2024-01-13,cache-cous + foulards,email,23484,0.46728,0.04104,47,4727.13,0.2023,0.01579
2024-01,2024-01-14,(EN) cache-cous + foulards,email,6427,0.44121,0.04401,5,632.7,0.09945,0.02656
2024-01,2024-01-20,Rappel cache-cous + foulards,email,23069,0.44632,0.0234,41,3768.09999,0.1639,0.01509
2024-01,2024-01-20,cache-cous + foulards,email,1897,0.33565,0.01336,0,0,0,0.05826
2024-02,2024-02-24,Vente Relâche FR,email,23431,0.47973,0.03273,52,6261.5,0.26856,0.0139
2024-02,2024-02-25,(EN) Vente février,email,6306,0.44343,0.02653,5,450.88999,0.07205,0.02605
2024-02,2024-02-29,Villes amies monarques mairie,email,54,0.56604,0.30189,0,0,0,0
2024-03,2024-03-02,Campagne nationale plantation,email,22869,0.47548,0.04209,64,2463.16999,0.10833,0.01108
2024-03,2024-03-02,Milkweed planting Campaign,email,5572,0.48133,0.06381,40,1154.24,0.20925,0.00906
2024-03,2024-03-02,USA Milkweed planting Campaign,email,574,0.33099,0.0493,3,153.78,0.27074,0
2024-03,2024-03-17,Mitaines de four,email,22854,0.49004,0.07716,72,5888.38003,0.25889,0.01231
2024-03,2024-03-23,Vente de fin de saison 2024,email,23222,0.47889,0.05123,52,6152.69998,0.26667,0.0101
2024-03,2024-03-23,Oven mitts,email,6339,0.45511,0.04656,9,853.82001,0.13615,0.01754
2024-04,2024-04-06,cosmétiques annonce,email,23039,0.46597,0.05959,8,450.96001,0.01967,0.01021
2024-04,2024-04-06,cosmetics EN,email,6299,0.425,0.0399,1,23.73,0.0038,0.0125
2024-04,2024-04-20,Bombes asclépiade,email,22966,0.46339,0.02404,152,9486.87998,0.4154,0.00709
2024-04,2024-04-20,Milkweed bombs,email,6355,0.42291,0.02469,45,2986.95004,0.47578,0.00749
2024-04,2024-04-27,Bombes florales,email,22904,0.43687,0.03503,109,9162.77001,0.40223,0.0065
2024-05,2024-05-11,Réchauffement glacière #1 (clone),email,22913,0.4382,0.0363,23,2469.60003,0.1084,0.00619
2024-05,2024-05-11,(EN) Flower bombs,email,6495,0.40826,0.03055,31,1696.92001,0.26452,0.00624
2024-05,2024-05-25,Besace - glacières mai 2024,email,22837,0.75202,0.46674,48,5301.97008,0.23324,0.00726
2024-05,2024-05-25,Shoulder tote bag,email,6404,0.58661,0.24803,8,409.67001,0.06451,0.01339
2024-06,2024-06-06,Rise cartes-cadeaux rappel,email,253,0.83333,0.42063,3,349.45,1.38671,0
2024-06,2024-06-08,Rappel Bombes fr,email,22303,0.76658,0.48975,39,2504.43,0.11279,0.0059
2024-06,2024-06-15,Cosmétiques prévente,email,1170,0.85959,0.5899,29,2666.50003,2.28296,0.00171
2024-06,2024-06-15,Upgrade Sac à lunch,email,483,0.89834,0.53527,27,871.95,1.80902,0.00415
2024-06,2024-06-22,Été,email,22656,0.76597,0.02537,42,4110.36999,0.18233,0.00719
2024-06,2024-06-22,Summer,email,6443,0.59289,0.01535,10,1132.91001,0.17746,0.01206
2024-07,2024-07-06,Juillet bombes et plus,email,22572,0.41728,0.03616,43,3583.08002,0.15957,0.01002
2024-07,2024-07-06,(EN) Juillet bombes et plus,email,6386,0.38846,0.02735,17,859.9,0.13595,0.00964
2024-07,2024-07-20,Juillet bundles FR,email,22447,0.41578,0.04601,33,3925.10004,0.17584,0.00923
2024-07,2024-07-27,Juillet bombes et plus #2,email,10934,0.11519,0.01291,6,506.75001,0.04674,0.00636
2024-07,2024-07-27,(EN) Juillet bombes et plus #2,email,3864,0.14087,0.01597,1,56.6,0.01482,0.00995
2024-08,2024-08-03,Back to school #1 FR,email,20436,0.45006,0.02629,19,2214.94001,0.10903,0.00906
2024-08,2024-08-17,Sacs à vin + étuis FR,email,20250,0.46882,0.07264,26,2992.90997,0.14849,0.00918
2024-08,2024-08-17,Sac à vin + étuis - EN,email,6429,0.38067,0.03452,5,238.49,0.03742,0.01177
2024-08,2024-08-28,Courriel corpo (noms),email,272,0.71374,0.10305,0,0,0,0.04962
