mois,dep_meta_qc,dep_meta_usa,dep_meta_total,achats_meta,valeur_meta,roas_meta,cpa_meta,cpm_qc,freq_qc,commandes_shopify,ventes_nettes_shopify,aov,mer_reel,pct_pub,envois_courriel,destinataires,revenu_klaviyo,part_klaviyo_pct
2021-09,0.0,0.0,0.0,0,0,,,,,717,97657.51,137.34,,0.0,0,0,0,0.0
2021-10,0.0,0.0,0.0,0,0,,,,,268,33756.39,124.92,,0.0,0,0,0,0.0
2021-11,0.0,0.0,0.0,0,0,,,,,361,42313.03,117.95,,0.0,0,0,0,0.0
2021-12,0.0,0.0,0.0,0,0,,,,,58,5525.96,100.41,,0.0,0,0,0,0.0
2022-01,0.0,0.0,0.0,0,0,,,,,25,385.86,36.67,,0.0,0,0,0,0.0
2022-02,0.0,0.0,0.0,0,0,,,,,140,15232.05,115.70,,0.0,0,0,0,0.0
2022-03,0.0,0.0,0.0,0,0,,,,,417,9941.11,25.00,,0.0,0,0,0,0.0
2022-04,0.0,0.0,0.0,0,0,,,,,2696,40353.55,15.13,,0.0,0,0,0,0.0
2022-05,0.0,0.0,0.0,0,0,,,,,1603,28706.53,18.18,,0.0,0,0,0,0.0
2022-06,0.0,0.0,0.0,0,0,,,,,21,1031.21,51.10,,0.0,0,0,0,0.0
2022-07,0.0,0.0,0.0,0,0,,,,,11,83.54,10.23,,0.0,0,0,0,0.0
2022-08,0.0,0.0,0.0,0,0,,,,,24,502.93,20.96,,0.0,0,0,0,0.0
2022-09,0.0,0.0,0.0,0,0,,,,,796,67072.22,84.94,,0.0,0,0,0,0.0
2022-10,0.0,0.0,0.0,0,0,,,,,728,51587.83,70.76,,0.0,0,0,0,0.0
2022-11,0.0,0.0,0.0,0,0,,,,,396,31870.65,80.55,,0.0,0,0,0,0.0
2022-12,0.0,0.0,0.0,0,0,,,,,202,22133.32,110.14,,0.0,0,0,0,0.0
2023-01,0.0,0.0,0.0,0,0,,,,,449,30146.48,70.69,,0.0,0,0,0,0.0
2023-02,0.0,0.0,0.0,0,0,,,,,530,19017.96,39.61,,0.0,0,0,0,0.0
2023-03,0.0,0.0,0.0,0,0,,,,,910,20736.66,24.31,,0.0,0,0,0,0.0
2023-04,0.0,0.0,0.0,0,0,,,,,1457,36486.92,25.52,,0.0,0,0,0,0.0
2023-05,0.0,0.0,0.0,0,0,,,,,1289,45733.68,35.88,,0.0,0,0,0,0.0
2023-06,0.0,0.0,0.0,0,0,,,,,126,13253.02,107.89,,0.0,0,0,0,0.0
2023-07,597.34,0.0,597.34,9,942.06,1.58,66.37,3.91,1.465,78,7949.8,102.39,13.31,7.5,0,0,0,0.0
2023-08,1107.73,0.0,1107.73,20,1443.63,1.3,55.39,2.72,2.093,242,15523.04,65.97,14.01,7.1,1,196,0.0,0.0
2023-09,2158.7,0.0,2158.7,227,9951.49,4.61,9.51,2.14,2.178,595,36819.47,63.20,17.06,5.9,8,79778,29244.08,79.4
2023-10,9591.5,0.0,9591.5,731,38785.54,4.04,13.12,3.37,3.106,960,54885.51,57.24,5.72,17.5,2,26823,5549.75,10.1
2023-11,7277.67,0.0,7277.67,643,54499.3,7.49,11.32,5.34,2.902,990,83507.52,85.68,11.47,8.7,8,52071,10852.0,13.0
2023-12,6714.28,0.0,6714.28,358,30610.77,4.56,18.75,5.43,3.203,578,45953.53,83.04,6.84,14.6,3,25151,1914.49,4.2
2024-01,5290.71,0.0,5290.71,235,14809.41,2.8,22.51,3.38,3.041,409,26193.92,69.36,4.95,20.2,4,54877,9127.93,34.8
2024-02,4824.27,0.0,4824.27,294,10231.69,2.12,16.41,2.64,2.547,380,17340.78,48.32,3.59,27.8,3,29791,6712.39,38.7
2024-03,6706.86,0.0,6706.86,537,15774.77,2.35,12.49,1.94,3.062,821,29651.15,37.56,4.42,22.6,6,81430,16666.09,56.2
2024-04,7654.24,0.0,7654.24,552,17811.26,2.33,13.87,2.62,2.845,927,35218.36,38.43,4.6,21.7,5,81563,22111.29,62.8
2024-05,8783.63,0.0,8783.63,463,20168.73,2.3,18.97,2.92,3.184,670,32869.02,49.24,3.74,26.7,4,58649,9878.16,30.1
2024-06,8529.81,0.0,8529.81,307,22151.28,2.6,27.78,3.96,2.968,492,30753.29,62.57,3.61,27.7,6,53308,11635.61,37.8
2024-07,6120.38,233.85,6354.23,179,19051.4,3.0,35.5,4.54,2.753,377,28627.1,76.83,4.51,22.2,5,66203,8931.43,31.2
2024-08,5562.35,1417.64,6979.99,269,22571.97,3.23,25.95,6.14,2.863,395,28312.76,72.12,4.06,24.7,6,70385,5932.22,21.0
2024-09,6188.92,4648.83,10837.75,718,42401.64,3.91,15.09,5.63,2.725,1102,71348.81,65.65,6.58,15.2,9,100822,39891.21,55.9
2024-10,6491.56,7013.87,13505.43,814,43670.34,3.23,16.59,6.54,2.708,976,54184.45,55.13,4.01,24.9,3,31952,3685.04,6.8
2024-11,10504.47,9410.39,19914.86,1002,81131.06,4.07,19.88,8.72,3.133,1363,101832.23,74.87,5.11,19.6,9,74912,14127.32,13.9
2024-12,14827.53,5700.83,20528.36,790,88269.93,4.3,25.99,7.38,2.922,1193,110484.21,93.08,5.38,18.6,11,81269,17383.88,15.7
2025-01,10587.49,3937.37,14524.86,446,35111.43,2.42,32.57,6.34,2.774,654,43159.37,70.46,2.97,33.7,6,25034,3096.41,7.2
2025-02,9017.81,1447.16,10464.97,585,50226.07,4.8,17.89,7.15,3.537,949,69068.51,74.33,6.6,15.2,4,61258,28310.87,41.0
2025-03,11257.26,8196.51,19453.77,1192,48132.75,2.47,16.32,6.48,3.784,1450,55810.45,39.24,2.87,34.9,6,67735,10272.12,18.4
2025-04,14439.78,19237.91,33677.69,1958,70222.42,2.09,17.2,6.38,4.580,2193,75558.12,34.91,2.24,44.6,8,51857,6666.49,8.8
2025-05,12442.07,28160.07,40602.14,1921,77623.41,1.91,21.14,7.17,4.112,2314,119019.7,51.92,2.93,34.1,8,120198,54896.1,46.1
2025-06,9530.63,20334.39,29865.02,1106,50081.86,1.68,27.0,7.87,2.979,1272,56686.48,45.51,1.9,52.7,10,82321,6549.82,11.6
2025-07,13065.66,4082.91,17148.57,511,33687.8,1.96,33.56,9.16,3.391,672,38379.08,65.15,2.24,44.7,5,54966,2633.0,6.9
2025-08,4198.88,1149.48,5348.36,269,16807.68,3.14,19.88,9.33,3.385,408,25869.35,64.87,4.84,20.7,6,74255,5661.01,21.9
2025-09,5017.86,7529.02,12546.88,990,56708.1,4.52,12.67,8.26,3.294,1378,88166.01,64.46,7.03,14.2,16,140429,44393.5,50.4
2025-10,9847.18,5372.74,15219.92,549,47129.51,3.1,27.72,8.93,3.565,694,52771.69,78.07,3.47,28.8,8,58742,6250.86,11.8
2025-11,37980.36,6766.56,44746.92,1281,164599.53,3.68,34.93,13.32,4.842,1709,186381.27,109.36,4.17,24.0,25,195749,43955.71,23.6
2025-12,54203.11,21340.16,75543.27,2009,237778.58,3.15,37.6,9.95,4.892,2533,264673.53,105.87,3.5,28.5,17,100516,25145.62,9.5
2026-01,28934.6,5812.44,34747.04,739,82372.79,2.37,47.02,7.08,4.626,1124,92336.66,92.09,2.66,37.6,10,77890,23974.65,26.0
2026-02,34342.82,6514.79,40857.61,1053,91924.97,2.25,38.8,9.45,5.045,1335,99484.32,78.67,2.43,41.1,5,64327,16694.44,16.8
2026-03,15581.24,15388.9,30970.14,1059,43992.81,1.42,29.24,7.74,3.109,1276,48648.83,40.70,1.57,63.7,5,75865,7849.73,16.1
2026-04,3832.54,2861.68,6694.22,456,11832.06,1.77,14.68,7.66,2.827,764,24493.51,33.30,3.66,27.3,3,53578,10780.37,44.0
2026-05,566.51,3208.12,3774.63,301,5547.59,1.47,12.54,4.26,1.516,968,82740.97,86.24,21.92,4.6,8,144080,74347.88,89.9
2026-06,917.88,0.0,917.88,2,227.82,0.25,458.94,4.14,1.455,71,8181.43,120.46,8.91,11.2,2,19143,2132.63,26.1
2026-07,0.0,0.0,0.0,0,0,,,,,42,2759.47,81.80,,0.0,1,57,0.0,0.0
2026-08,0.0,1064.35,1064.35,44,1360.24,1.28,24.19,,,128,7179.77,63.78,6.75,14.8,5,63361,2919.53,40.7
