compte,campagne,objectif,depense,valeur_achats,achats,roas,frequence
QC,(FR) 2025-2026 Conversions,OUTCOME_SALES,146727.77,465731.03,3908,3.174,14.86
QC,Campagne textile été 2025,OUTCOME_SALES,22656.56,54365.3,761,2.4,5.09
QC,(FR) 2023-2024 Engagement,OUTCOME_ENGAGEMENT,11909.3,7511.17,98,0.631,3.92
QC,engagement,OUTCOME_ENGAGEMENT,11385.46,2164.95,23,0.19,3.79
QC,Campagne plantation 2026,OUTCOME_SALES,10443.97,17607.66,358,1.686,4.65
QC,Mega Post 2024,OUTCOME_TRAFFIC,7117.9,7146.44,88,1.004,3.25
QC,Campagne Traffic MegaPost 2023,OUTCOME_TRAFFIC,5343.31,9141.26,115,1.711,2.75
QC,video engagement,OUTCOME_ENGAGEMENT,5232.66,1641.01,12,0.314,3.13
QC,Awareness mega post Lasclay 2023,OUTCOME_AWARENESS,2017.69,728.66,10,0.361,7.24
QC,Media Ads campaign 2022,OUTCOME_TRAFFIC,960.92,706.81,9,0.736,2.65
QC,GFM,OUTCOME_TRAFFIC,632.09,227.82,2,0.36,1.35
QC,Vidéo awareness,OUTCOME_AWARENESS,413.14,183.96,2,0.445,1.63
QC,Awareness Marché Noel 2024,OUTCOME_AWARENESS,142.89,0,0,0,1.0
QC,Awareness,OUTCOME_AWARENESS,77.74,0,0,0,1.2
QC,Mixed assets,OUTCOME_SALES,53.8,0,0,0,1.08
QC,Media (sales) 2023,OUTCOME_SALES,31.91,123.99,2,3.886,1.34
USA,2024 Conversion USA,OUTCOME_SALES,119539.06,251690.67,8044,2.106,3.57
USA,Campagne USA hiver,OUTCOME_SALES,42601.47,119946.57,1098,2.816,3.75
USA,2025 plantation Canada,OUTCOME_SALES,11801.76,26722.45,628,2.264,3.92
USA,Mega post courriel traffic USA,OUTCOME_TRAFFIC,7834.49,6215.81,92,0.793,1.85
USA,Engagement mega post USA,OUTCOME_ENGAGEMENT,3564.03,398.34,4,0.112,1.97
USA,Campagne C textile,OUTCOME_SALES,1866.2,5232.91,51,2.804,1.74
USA,Plantation 2026,OUTCOME_SALES,866.43,615.32,18,0.71,1.68
USA,2024 Megapost USA (Trafic),LINK_CLICKS,601.91,260.36,7,0.433,1.33
USA,Engagement (2026),OUTCOME_ENGAGEMENT,474.45,0,0,0,1.36
USA,ENGAGEMENT PLANTATION,OUTCOME_ENGAGEMENT,453.68,0,0,0,1.64
USA,end season,OUTCOME_SALES,421.81,1100.84,16,2.61,1.85
USA,Max value,OUTCOME_SALES,396.82,388.57,4,0.979,1.6
USA,Engagement mega post Mexico,OUTCOME_ENGAGEMENT,60.18,0,0,0,1.19
USA,engagement (awareness),OUTCOME_AWARENESS,38.6,0,0,0,1.0
