month,spend,impressions,clicks,ctr,cpc,cpm,reach,frequency,roas,purchases,purchase_value,atc,ic,lpv,cpa
2023-07,597.34,152907,4870,3.18,0.12,3.91,104357,1.465,1.577,9,942.06,39,17,707,66.37
2023-08,1107.73,407833,12751,3.13,0.09,2.72,194821,2.093,1.303,20,1443.63,94,43,1948,55.39
2023-09,2158.70,1010974,36537,3.61,0.06,2.14,464218,2.178,4.610,227,9951.49,754,423,4392,9.51
2023-10,9591.50,2846956,125162,4.40,0.08,3.37,916653,3.106,4.044,731,38785.54,2686,1339,14702,13.12
2023-11,7277.67,1363694,82425,6.04,0.09,5.34,469899,2.902,7.489,643,54499.30,2924,1278,9901,11.32
2023-12,6714.28,1236708,55108,4.46,0.12,5.43,386115,3.203,4.559,358,30610.77,2064,885,6906,18.75
2024-01,5290.71,1567179,56572,3.61,0.09,3.38,515326,3.041,2.799,235,14809.41,1530,704,5358,22.51
2024-02,4824.27,1825479,64471,3.53,0.07,2.64,716620,2.547,2.121,294,10231.69,1988,830,7486,16.41
2024-03,6706.86,3463988,97890,2.83,0.07,1.94,1131456,3.062,2.352,537,15774.77,3794,1561,11696,12.49
2024-04,7654.24,2922216,84649,2.90,0.09,2.62,1027008,2.845,2.327,552,17811.26,4332,1851,10667,13.87
2024-05,8783.63,3010174,84055,2.79,0.10,2.92,945377,3.184,2.296,463,20168.73,4405,1534,10893,18.97
2024-06,8529.81,2151881,69340,3.22,0.12,3.96,724964,2.968,2.597,307,22151.28,2993,858,11357,27.78
2024-07,6120.38,1347210,48497,3.60,0.13,4.54,489427,2.753,3.101,176,18978.33,1801,663,5891,34.77
2024-08,5562.35,905309,29848,3.30,0.19,6.14,316242,2.863,3.416,175,19001.59,1449,540,4259,31.78
2024-09,6188.92,1098396,39227,3.57,0.16,5.63,403075,2.725,4.435,276,27446.73,2103,867,4441,22.42
2024-10,6491.56,992303,42567,4.29,0.15,6.54,366426,2.708,3.849,253,24985.43,2099,687,5137,25.66
2024-11,10504.47,1205331,64985,5.39,0.16,8.72,384684,3.133,5.709,528,59967.62,3627,1510,10697,19.89
2024-12,14827.53,2010431,116348,5.79,0.13,7.38,687984,2.922,4.943,629,73299.15,4010,1684,13621,23.57
2025-01,10587.49,1669335,92039,5.51,0.12,6.34,601799,2.774,2.913,385,30842.34,2736,921,12125,27.50
2025-02,9017.81,1260663,55058,4.37,0.16,7.15,356375,3.537,5.415,542,48830.79,2994,1275,13994,16.64
2025-03,11257.26,1736236,64150,3.69,0.18,6.48,458782,3.784,2.500,543,28143.54,3740,1345,12131,20.73
2025-04,14439.78,2264346,77153,3.41,0.19,6.38,494443,4.580,1.858,586,26832.24,5226,1614,16203,24.64
2025-05,12442.07,1735207,49536,2.85,0.25,7.17,421972,4.112,2.007,436,24966.97,3628,1150,10378,28.54
2025-06,9530.63,1211168,32768,2.71,0.29,7.87,406535,2.979,2.263,355,21567.90,2795,744,8209,26.85
2025-07,13065.66,1426437,36030,2.53,0.36,9.16,420649,3.391,2.215,401,28937.95,2656,830,10013,32.58
2025-08,4198.88,449821,14480,3.22,0.29,9.33,132867,3.385,2.641,112,11087.90,868,336,3718,37.49
2025-09,5017.86,607178,28227,4.65,0.18,8.26,184333,3.294,6.281,227,31518.91,1891,552,5071,22.11
2025-10,9847.18,1103304,55687,5.05,0.18,8.93,309513,3.565,3.431,262,33785.94,2350,690,11003,37.58
2025-11,37980.36,2851193,144920,5.08,0.26,13.32,588816,4.842,3.715,1032,141078.83,7461,2384,32039,36.80
2025-12,54203.11,5449129,223432,4.10,0.24,9.95,1113894,4.892,3.200,1443,173461.37,9115,3205,37091,37.56
2026-01,28934.60,4083932,136222,3.34,0.21,7.08,882836,4.626,2.487,656,71964.12,4392,1515,23819,44.11
2026-02,34342.82,3635951,142383,3.92,0.24,9.45,720652,5.045,2.420,790,83126.27,6568,2175,32569,43.47
2026-03,15581.24,2012363,94819,4.71,0.16,7.74,647310,3.109,1.414,311,22037.44,2460,791,10342,50.10
2026-04,3832.54,500032,17320,3.46,0.22,7.66,176902,2.827,1.753,152,6719.28,1571,388,4518,25.21
2026-05,566.51,132957,2980,2.24,0.19,4.26,87678,1.516,1.913,9,1083.47,34,15,457,62.95
2026-06,917.88,221912,11208,5.05,0.08,4.14,152562,1.455,0.248,2,227.82,14,3,2759,458.94
