month,spend,impressions,clicks,ctr,cpc,cpm,reach,frequency,roas,purchases,purchase_value,atc,ic,lpv,cpa
2024-07,233.85,93698,20951,22.36,0.01,2.50,72625,1.290,0.312,3,73.07,50,12,1553,77.95
2024-08,1417.64,326929,48092,14.71,0.03,4.34,241678,1.353,2.519,94,3570.38,576,183,3795,15.08
2024-09,4648.83,1460314,63062,4.32,0.07,3.18,839155,1.740,3.217,442,14954.91,2988,908,7188,10.52
2024-10,7013.87,2012750,123071,6.11,0.06,3.48,1144539,1.759,2.664,561,18684.91,3918,1169,12055,12.50
2024-11,9410.39,3262377,203395,6.23,0.05,2.88,1828157,1.785,2.249,474,21163.44,3379,979,15236,19.85
2024-12,5700.83,1525165,180187,11.81,0.03,3.74,963825,1.582,2.626,161,14970.78,1064,341,10345,35.41
2025-01,3937.37,1150163,133866,11.64,0.03,3.42,753385,1.527,1.084,61,4269.09,448,129,7407,64.55
2025-02,1447.16,622762,77319,12.42,0.02,2.32,451733,1.379,0.964,43,1395.28,340,100,4432,33.65
2025-03,8196.51,2446003,138207,5.65,0.06,3.35,1278218,1.914,2.439,649,19989.21,4955,1548,16503,12.63
2025-04,19237.91,3594398,207343,5.77,0.09,5.35,1571375,2.287,2.255,1372,43390.18,10040,3260,33614,14.02
2025-05,28160.07,4586330,214496,4.68,0.13,6.14,1800494,2.547,1.870,1485,52656.44,10740,3436,36367,18.96
2025-06,20334.39,2431732,143539,5.90,0.14,8.36,1163260,2.090,1.402,751,28513.96,5912,1571,22346,27.08
2025-07,4082.91,379413,26149,6.89,0.16,10.76,232122,1.635,1.163,110,4749.85,937,227,3506,37.12
2025-08,1149.48,243859,17191,7.05,0.07,4.71,166730,1.463,4.976,157,5719.78,942,273,3628,7.32
2025-09,7529.02,1912644,107890,5.64,0.07,3.94,1087407,1.759,3.346,763,25189.19,4771,1697,20594,9.87
2025-10,5372.74,1002232,45294,4.52,0.12,5.36,628479,1.595,2.484,287,13343.57,1918,777,9838,18.72
2025-11,6766.56,563972,27744,4.92,0.24,12.00,348659,1.618,3.476,249,23520.70,1461,518,5733,27.17
2025-12,21340.16,1309822,48495,3.70,0.44,16.29,343181,3.817,3.014,566,64317.21,3393,1212,12199,37.70
2026-01,5812.44,546418,19497,3.57,0.30,10.64,234824,2.327,1.791,83,10408.67,499,182,3515,70.03
2026-02,6514.79,499587,40349,8.08,0.16,13.04,288365,1.732,1.351,263,8798.70,1836,643,8105,24.77
2026-03,15388.90,982502,64630,6.58,0.24,15.66,461172,2.130,1.427,748,21955.37,5523,1824,17161,20.57
2026-04,2861.68,222240,18321,8.24,0.16,12.88,133408,1.666,1.787,304,5112.78,2453,763,4961,9.41
2026-05,3208.12,234757,19160,8.16,0.17,13.67,130806,1.795,1.392,292,4464.12,2507,743,5059,10.99
2026-08,1064.35,74354,7628,10.26,0.14,14.31,51598,1.441,1.278,44,1360.24,354,102,1871,24.19
