month,orders,gross_sales,discounts,net_sales,total_sales,aov
2021-09,717,101714.89,-2622.24,97657.51,116800.71,137.34
2021-10,268,34026.44,-72.05,33756.39,40739.47,124.92
2021-11,361,42792.35,-13.98,42313.03,51448.67,117.95
2021-12,58,6304.64,-104.50,5525.96,6639.59,100.41
2022-01,25,926.75,-9.90,385.86,402.43,36.67
2022-02,140,16564.37,-159.04,15232.05,18203.61,115.70
2022-03,417,11765.50,-1282.37,9941.11,11803.27,25.00
2022-04,2696,49006.76,-7977.33,40353.55,46271.68,15.13
2022-05,1603,33356.87,-4163.71,28706.53,33747.39,18.18
2022-06,21,2105.72,-1032.56,1031.21,1219.36,51.10
2022-07,11,147.83,-35.29,83.54,96.07,10.23
2022-08,24,588.20,-85.27,502.93,576.19,20.96
2022-09,796,72517.96,-3824.06,67072.22,80567.13,84.94
2022-10,728,53112.34,-869.96,51587.83,61909.08,70.76
2022-11,396,32434.74,-271.85,31870.65,38584.52,80.55
2022-12,202,22741.01,-163.97,22133.32,27074.31,110.14
2023-01,449,46916.32,-14769.16,30146.48,36595.30,70.69
2023-02,530,27254.18,-6160.48,19017.96,22776.13,39.61
2023-03,910,24641.59,-2428.40,20736.66,24316.79,24.31
2023-04,1457,43377.93,-6021.53,36486.92,43372.17,25.52
2023-05,1289,53030.44,-6387.24,45733.68,55031.46,35.88
2023-06,126,15609.57,-1863.96,13253.02,15994.18,107.89
2023-07,78,9407.26,-1167.58,7949.80,9619.72,102.39
2023-08,242,20052.95,-2382.08,15523.04,19812.77,65.97
2023-09,595,42924.51,-4188.18,36819.47,44622.95,63.20
2023-10,960,58568.18,-2847.83,54885.51,65523.47,57.24
2023-11,990,87415.79,-1605.52,83507.52,100558.96,85.68
2023-12,578,49176.45,-811.05,45953.53,55358.28,83.04
2024-01,409,29711.11,-863.51,26193.92,31781.21,69.36
2024-02,380,20181.81,-1742.17,17340.78,20630.90,48.32
2024-03,821,34042.93,-3017.72,29651.15,34984.61,37.56
2024-04,927,45544.59,-9763.29,35218.36,44217.39,38.43
2024-05,670,40780.54,-7645.54,32869.02,41359.77,49.24
2024-06,492,38413.31,-7540.08,30753.29,38808.90,62.57
2024-07,377,33647.94,-4185.74,28627.10,35163.70,76.83
2024-08,395,29788.13,-1255.88,28312.76,34161.90,72.12
2024-09,1102,81772.18,-9367.43,71348.81,83948.63,65.65
2024-10,976,57783.78,-3249.21,54184.45,61690.91,55.13
2024-11,1363,109985.82,-6934.72,101832.23,119105.28,74.87
2024-12,1193,117309.37,-5907.19,110484.21,130098.08,93.08
2025-01,654,52136.45,-5535.90,43159.37,50672.49,70.46
2025-02,949,84426.58,-13475.71,69068.51,78461.45,74.33
2025-03,1450,73520.90,-16165.38,55810.45,62114.09,39.24
2025-04,2193,99816.40,-22966.11,75558.12,84429.59,34.91
2025-05,2314,142153.76,-21771.16,119019.70,133480.57,51.92
2025-06,1272,68538.76,-10132.72,56686.48,63645.71,45.51
2025-07,672,48497.77,-3770.85,38379.08,44177.98,65.15
2025-08,408,33812.26,-2234.80,25869.35,29804.55,64.87
2025-09,1378,98225.63,-8902.26,88166.01,100479.18,64.46
2025-10,694,56174.07,-848.71,52771.69,63268.25,78.07
2025-11,1709,190165.59,-1063.00,186381.27,216672.98,109.36
2025-12,2533,275270.87,-3414.11,264673.53,308436.53,105.87
2026-01,1124,117778.18,-13009.53,92336.66,105422.78,92.09
2026-02,1335,123524.85,-17442.78,99484.32,112268.40,78.67
2026-03,1276,60365.46,-7971.91,48648.83,54045.44,40.70
2026-04,764,26490.81,-997.88,24493.51,28707.35,33.30
2026-05,968,106104.30,-22623.32,82740.97,96478.53,86.24
2026-06,71,11655.74,-3020.89,8181.43,9501.96,120.46
2026-07,42,4053.88,-725.08,2759.47,3240.24,81.80
2026-08,128,9635.52,-1131.47,7179.77,8400.16,63.78
