month,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2023-07,9407.26,-1167.58,-289.88,7949.80,467.24,1202.68,9619.72
2023-08,20052.95,-2382.08,-2147.83,15523.04,1777.61,2512.12,19812.77
2023-09,42924.51,-4188.18,-1916.86,36819.47,2198.03,5605.45,44622.95
2023-10,58568.18,-2847.83,-834.84,54885.51,2522.29,8115.67,65523.47
2023-11,87415.79,-1605.52,-2302.75,83507.52,4029.88,13021.56,100558.96
2023-12,49176.45,-811.05,-2411.87,45953.53,2261.10,7143.65,55358.28
2024-01,29711.11,-863.51,-2653.68,26193.92,1511.36,4075.93,31781.21
2024-02,20181.81,-1742.17,-1098.86,17340.78,704.58,2585.54,20630.90
2024-03,34042.93,-3017.72,-1374.06,29651.15,1031.39,4302.07,34984.61
2024-04,45544.59,-9763.29,-562.94,35218.36,3483.09,5515.94,44217.39
2024-05,40780.54,-7645.54,-265.98,32869.02,3318.17,5172.58,41359.77
2024-06,38413.31,-7540.08,-119.94,30753.29,3127.89,4927.72,38808.90
2024-07,33647.94,-4185.74,-835.10,28627.10,2002.86,4533.74,35163.70
2024-08,29788.13,-1255.88,-219.49,28312.76,1908.20,3940.94,34161.90
2024-09,81772.18,-9367.43,-1055.94,71348.81,4178.58,8421.24,83948.63
2024-10,57783.78,-3249.21,-350.12,54184.45,2793.54,4712.92,61690.91
2024-11,109985.82,-6934.72,-1218.87,101832.23,4665.53,12607.52,119105.28
2024-12,117309.37,-5907.19,-917.97,110484.21,4702.79,14911.08,130098.08
2025-01,52136.45,-5535.90,-3441.18,43159.37,1582.22,5930.90,50672.49
2025-02,84426.58,-13475.71,-1882.36,69068.51,-9.50,9402.44,78461.45
2025-03,73520.90,-16165.38,-1545.07,55810.45,938.25,5365.39,62114.09
2025-04,99816.40,-22966.11,-1292.17,75558.12,3027.10,5844.37,84429.59
2025-05,142153.76,-21771.16,-1362.90,119019.70,2840.63,11620.24,133480.57
2025-06,68538.76,-10132.72,-1719.56,56686.48,2280.87,4678.36,63645.71
2025-07,48497.77,-3770.85,-6347.84,38379.08,733.78,5065.12,44177.98
2025-08,33812.26,-2234.80,-5708.11,25869.35,999.77,2935.43,29804.55
2025-09,98225.63,-8902.26,-1157.36,88166.01,2753.87,9559.30,100479.18
2025-10,56174.07,-848.71,-2553.67,52771.69,3690.81,6805.75,63268.25
2025-11,190165.59,-1063.00,-2721.32,186381.27,3547.12,26744.59,216672.98
2025-12,275270.87,-3414.11,-7183.23,264673.53,6097.78,37665.22,308436.53
2026-01,117778.18,-13009.53,-12431.99,92336.66,1122.76,11963.36,105422.78
2026-02,123524.85,-17442.78,-6597.75,99484.32,96.70,12687.38,112268.40
2026-03,60365.46,-7971.91,-3744.72,48648.83,2026.60,3370.01,54045.44
2026-04,26490.81,-997.88,-999.42,24493.51,1364.09,2849.75,28707.35
2026-05,106104.30,-22623.32,-740.01,82740.97,2455.94,11281.62,96478.53
2026-06,11655.74,-3020.89,-453.42,8181.43,202.47,1118.06,9501.96
2026-07,4053.88,-725.08,-569.33,2759.47,170.82,309.95,3240.24
2026-08,9660.39,-1133.12,-1324.28,7202.99,310.08,913.05,8426.12
