id,date_premier_courriel,mois,theme,sous_theme,bogue,langue,pays,no_commande,date_commande,delai_jours,etiquettes,sujet
019f8a94-b585-73a2-b3f7-f1414615c08e,2026-07-27,2026-07,suivi_livraison,,,fr,,,,,,RE: Tarif Drop-off
e4b03cab-563e-4061-b089-204aaab8b92e,2026-07-30,2026-07,douane_international,,,en,,,,,,回复： SHENZHEN-TUNIS 18rolls SB-YWS26070417
691c16e3-fd90-40a2-b730-8641f0cfb9d4,2025-12-18,2025-12,modification_annulation_commande,,,fr,CA,L-50448,2026-05-30,,Support/Draft AI Support|Support/MERGE|Support/Mise à jour commande,Re: Commande L-50448 confirmée
0d5dad19-30a4-424c-a470-ee63c4a2145b,2026-05-28,2026-05,autre,,,fr,,,,,,"Re: Bonjour,bonne idée ""les oreillers"",mais quel est le produit de remplissage qui complète le 35% d'asclépiade?Merci,"
cf9ae5cd-b11f-4f6f-aba8-a5bbee5071a7,2026-05-24,2026-05,wholesale_b2b,,,fr,,,,,,Re: Merci de ton soutien
9c5bd27f-c06f-4765-adbc-6573fa13d327,2026-06-23,2026-06,question_pre_achat,,,fr,,,,,,RE: [EXTERNAL\EXTERNE:] Re: PARI Assistance Défense - Invitation à soumettre une demande - Lasclay
ce3cf348-5245-4e1b-a911-03cbf5061769,2026-07-06,2026-07,douane_international,,,en,,,,,Opérations/Draft créé,Re: Re: Quote GUANGZHOU---MONTREAL 1Bag+31Rollls+3Wooden Cases//1366KG//7CBM SB-YWS22050137
141d68e7-1e6c-4b41-96a4-8c9526dc7bb8,2026-05-24,2026-05,modification_annulation_commande,,,fr,,,,,,annulation de commande!!!!
1bfe3343-500a-47a7-a4b5-fb85cd18d306,2025-10-15,2025-10,wholesale_b2b,,,fr,,,,,Aménagement,Message from Lasclay
14b7abe4-23b0-4655-8c4f-d67940e07209,2025-12-16,2025-12,probleme_produit_garantie,,,fr,,,,,Opérations/Draft créé,Re: Information - Camping d'hiver
70071189-694f-412a-a419-63da4bb2128f,2026-03-26,2026-03,autre,,,fr,,,,,Opérations/Draft créé,Re: Semences
e26f6dee-21d8-4640-8b02-942300d19b26,2026-05-26,2026-05,retour_echange_remboursement,,,fr,,,,,Opérations/Draft créé,RE: Suite à la matinée Québec International/Auvergne-Rhône-Alpes
78023277-3742-4c48-85d2-f412ee2a8ff2,2026-05-06,2026-05,suivi_livraison,,,en,,,,,Opérations/Draft créé,Re: Fw: Lasclay x ITA Group | Corporate Gifting
01066820-5ee1-4c45-82f4-343526aae6e3,2026-01-15,2026-01,suivi_livraison,,,fr,,,,,Opérations/Draft créé,Re: Partenariat Expédition Himalaya 2026 - Lhotse (8516m)
07fdcc0e-27bd-479e-ab45-8a093cb6e058,2026-02-02,2026-02,wholesale_b2b,,,fr,,,,,Opérations/Draft créé,Réponse automatique : [EXTERNE] Re: Information Sépaq
5ad8ce2b-5265-4363-ba58-1054d747922d,2026-06-04,2026-06,wholesale_b2b,,,fr,,,,,Opérations/Draft créé,Re: White label??
26d3cb90-01f5-47de-a94d-7af0aa759214,2025-11-19,2025-11,question_pre_achat,points_de_vente,,fr,,,,,Opérations/Draft créé|Support/⚡ Ventes - info pré-achat,Re: Point de vente Lac-Mégantic
17f02ba4-3b05-4ba9-a6d1-cc1ab74fe7d1,2025-12-04,2025-12,probleme_produit_garantie,,,fr,,,,,Opérations/Draft créé|Support/R&D/Idées de produits,Re: Gant isolé travail pour inspecteurs
6641d260-4463-4946-9d49-b4c9a830f177,2025-11-18,2025-11,retour_echange_remboursement,,,fr,,,,,À snooze|Support/Draft AI Support|Support/↩️ RETOURS - ECHANGES,Re: Merci de ton soutien
82a1c5de-0742-4b91-827e-5da7648d1c00,2025-12-17,2025-12,retour_echange_remboursement,,,fr,CA,L-43686,2025-12-11,6,Draft AI RÉVISÉ PAR HUMAIN|Support/Draft AI Support|Support/📨Expéditions prioritaires|Support/R&D/Produits horticoles|Support/↩️ RETOURS - ECHANGES,Re: commande L-43686
