lieu	clients	commandes	ventes	commandesParClient	tauxRecurrence	valeurMoyenne
Montréal (QC)	3512	4811	439037	1.37	0.2341	125
Québec (QC)	2386	3444	315910	1.44	0.2481	132
Gatineau (QC)	678	909	84797	1.34	0.2153	125
Laval (QC)	626	828	69320	1.32	0.1965	111
Sherbrooke (QC)	643	824	68692	1.28	0.196	107
Lévis (QC)	522	720	58634	1.38	0.2337	112
Longueuil (QC)	457	656	52058	1.44	0.2648	114
Trois-Rivières (QC)	390	554	46240	1.42	0.2308	119
Rimouski (QC)	264	355	30683	1.34	0.2311	116
Ottawa (ON)	275	351	24778	1.28	0.1927	90
Saint-Jean-Sur-Richelieu (QC)	261	335	23509	1.28	0.1954	90
Terrebonne (QC)	262	332	22965	1.27	0.1832	88
Toronto (ON)	273	326	23769	1.19	0.1612	87
Saguenay (QC)	223	306	26076	1.37	0.2063	117
Granby (QC)	216	297	26267	1.38	0.2546	122
Boucherville (QC)	205	280	25904	1.37	0.2488	126
Repentigny (QC)	191	272	20445	1.42	0.2408	107
Drummondville (QC)	216	267	21705	1.24	0.162	100
Rouyn-Noranda (QC)	186	238	19100	1.28	0.2097	103
Shawinigan (QC)	169	225	17353	1.33	0.2012	103
Saint-Jérôme (QC)	177	225	14857	1.27	0.2147	84
Mirabel (QC)	133	167	12116	1.26	0.1579	91
Saint-Hyacinthe (QC)	130	165	14314	1.27	0.2077	110
Blainville (QC)	135	164	12243	1.21	0.1778	91
Verdun (QC)	111	163	16018	1.47	0.2703	144
Victoriaville (QC)	129	160	11490	1.24	0.2016	89
Chambly (QC)	113	159	12552	1.41	0.2389	111
Mascouche (QC)	131	155	10027	1.18	0.1298	77
Magog (QC)	121	149	12761	1.23	0.1488	105
Winnipeg (MB)	125	148	7747	1.18	0.12	62
Sainte-Julie (QC)	105	138	9444	1.31	0.2286	90
Alma (QC)	105	137	8944	1.3	0.2286	85
Varennes (QC)	91	130	9969	1.43	0.1868	110
Saint-Eustache (QC)	103	128	9378	1.24	0.1845	91
Saint-Hubert (QC)	99	126	9561	1.27	0.202	97
Bromont (QC)	89	121	12088	1.36	0.236	136
Saint-Bruno-De-Montarville (QC)	90	119	13021	1.32	0.2111	145
Chicoutimi (QC)	96	117	8961	1.22	0.1771	93
Beloeil (QC)	89	116	9575	1.3	0.2022	108
Sainte-Adèle (QC)	88	114	9705	1.3	0.1818	110
Calgary (AB)	98	113	7817	1.15	0.1327	80
Val-D'Or (QC)	97	112	9501	1.15	0.134	98
Jonquière (QC)	92	110	7555	1.2	0.163	82
Sorel-Tracy (QC)	89	109	9052	1.22	0.1573	102
Rawdon (QC)	82	108	8412	1.32	0.1707	103
Saint-Lambert (QC)	72	108	9951	1.5	0.3056	138
Brossard (QC)	84	107	9485	1.27	0.1786	113
Prévost (QC)	75	101	7681	1.35	0.2533	102
Gaspé (QC)	69	97	6812	1.41	0.2609	99
Sept-Îles (QC)	67	97	7606	1.45	0.2836	114
Mont-Saint-Hilaire (QC)	78	97	8185	1.24	0.2051	105
Châteauguay (QC)	71	96	6635	1.35	0.2113	93
Baie-Comeau (QC)	75	96	7634	1.28	0.1867	102
Mont-Laurier (QC)	65	94	8976	1.45	0.2462	138
Sainte-Sophie (QC)	74	94	4849	1.27	0.1892	66
Saint-Augustin-De-Desmaures (QC)	68	92	8903	1.35	0.2647	131
Saint-Colomban (QC)	79	92	5871	1.16	0.1392	74
Edmonton (AB)	77	92	4297	1.19	0.1169	56
Vaudreuil-Dorion (QC)	68	87	7992	1.28	0.2059	118
Hamilton (ON)	66	86	3267	1.3	0.2576	49
La Prairie (QC)	66	85	6454	1.29	0.2121	98
Salaberry-De-Valleyfield (QC)	67	85	6114	1.27	0.209	91
Rivière-Du-Loup (QC)	60	84	5638	1.4	0.2333	94
Joliette (QC)	65	83	8902	1.28	0.1538	137
Saint-Georges (QC)	62	83	5723	1.34	0.1935	92
Saint-Hippolyte (QC)	64	81	6212	1.27	0.2031	97
Bécancour (QC)	62	80	5546	1.29	0.1452	89
Sutton (QC)	54	77	7108	1.43	0.2963	132
Val-David (QC)	60	76	6624	1.27	0.2167	110
Rosemère (QC)	56	75	6551	1.34	0.2321	117
Carignan (QC)	52	73	7256	1.4	0.1731	140
Amos (QC)	55	73	6057	1.33	0.1818	110
Cantley (QC)	53	73	5666	1.38	0.3019	107
London (ON)	65	73	2375	1.12	0.1077	37
Saint-Constant (QC)	50	72	5038	1.44	0.24	101
L'Assomption (QC)	62	71	4544	1.15	0.1129	73
Boisbriand (QC)	58	71	4911	1.22	0.1552	85
Saint-Sauveur (QC)	52	71	6610	1.37	0.2692	127
Cowansville (QC)	55	70	4660	1.27	0.2182	85
Stoneham-Et-Tewkesbury (QC)	58	68	4858	1.17	0.1034	84
Lac-Beauport (QC)	51	67	6428	1.31	0.1961	126
Sainte-Agathe-Des-Monts (QC)	51	67	4790	1.31	0.1569	94
Mont-Tremblant (QC)	55	65	4504	1.18	0.1636	82
Kitchener (ON)	55	65	2712	1.18	0.1455	49
Saint-Basile-Le-Grand (QC)	48	64	5473	1.33	0.25	114
Otterburn Park (QC)	50	63	4305	1.26	0.18	86
Mercier (QC)	45	63	4915	1.4	0.1778	109
Beauharnois (QC)	48	62	3616	1.29	0.1667	75
Pointe-Claire (QC)	45	62	4572	1.38	0.2667	102
Val-Des-Monts (QC)	46	61	4793	1.33	0.2609	104
Saint-Charles-Borromée (QC)	48	61	5152	1.27	0.1458	107
L'Ancienne-Lorette (QC)	43	60	6281	1.4	0.2558	146
Vancouver (BC)	53	60	2632	1.13	0.1132	50
Lachine (QC)	48	59	5234	1.23	0.1875	109
Sainte-Thérèse (QC)	52	58	5705	1.12	0.0962	110
Lachute (QC)	49	58	3513	1.18	0.102	72
Saint-Felicien (QC)	37	58	3861	1.57	0.2973	104
La Tuque (QC)	43	58	4787	1.35	0.3256	111
Baie-Saint-Paul (QC)	40	58	6982	1.45	0.175	175
Sainte-Julienne (QC)	47	57	3619	1.21	0.1277	77
Thetford Mines (QC)	50	57	3722	1.14	0.08	74
Shefford (QC)	48	56	3824	1.17	0.1042	80
Chelsea (QC)	43	55	5041	1.28	0.186	117
Orford (QC)	43	55	4154	1.28	0.2326	97
La Malbaie (QC)	39	54	4473	1.38	0.2051	115
Candiac (QC)	41	54	4515	1.32	0.1951	110
Kingston (ON)	44	54	2867	1.23	0.1818	65
Pont-Rouge (QC)	38	53	4012	1.39	0.2105	106
Saint-Raymond (QC)	42	53	3585	1.26	0.2143	85
Lasalle (QC)	38	53	4157	1.39	0.3421	109
Saint-Bruno (QC)	40	52	3673	1.3	0.225	92
Deux-Montagnes (QC)	40	52	2965	1.3	0.25	74
Les Cedres (QC)	33	52	4866	1.58	0.303	147
Matane (QC)	43	52	3656	1.21	0.1628	85
Verchères (QC)	32	52	3959	1.63	0.3125	124
