municipalite	clients	commandes	ventes	menages	revenuMedian	revenuApresImpot	clientsPar1000Menages	commandesPar1000Menages	commandesParClient	tauxRecurrence	valeurMoyenne
Montréal	3512	4811	439037	816340	63600	56000	4.3	5.89	1.37	0.2341	125
Québec	2386	3444	315910	265710	70500	60800	8.98	12.96	1.44	0.2481	132
Gatineau	678	909	84797	126480	82000	69500	5.36	7.19	1.34	0.2153	125
Laval	626	828	69320	169785	85000	73500	3.69	4.88	1.32	0.1965	111
Sherbrooke	643	824	68692	80480	62400	55200	7.99	10.24	1.28	0.196	107
Lévis	522	720	58634	65750	84000	71000	7.94	10.95	1.38	0.2337	112
Longueuil	457	656	52058	113090	71500	62000	4.04	5.8	1.44	0.2648	114
Trois-Rivières	390	554	46240	66825	60400	53600	5.84	8.29	1.42	0.2308	119
Rimouski	264	355	30683	23470	66000	58000	11.25	15.13	1.34	0.2311	116
Saint-Jean-sur-Richelieu	261	335	23509	42910	74500	64500	6.08	7.81	1.28	0.1954	90
Terrebonne	262	332	22965	45245	95000	81000	5.79	7.34	1.27	0.1832	88
Saguenay	223	306	26076	67520	69000	60000	3.3	4.53	1.37	0.2063	117
Granby	216	297	26267	31850	62800	55600	6.78	9.32	1.38	0.2546	122
Boucherville	205	280	25904	17290	110000	90000	11.86	16.19	1.37	0.2488	126
Repentigny	191	272	20445	34175	91000	77500	5.59	7.96	1.42	0.2408	107
Drummondville	216	267	21705	36730	61200	54000	5.88	7.27	1.24	0.162	100
Rouyn-Noranda	186	238	19100	19280	76000	64500	9.65	12.34	1.28	0.2097	103
Shawinigan	169	225	17353	25060	53600	48400	6.74	8.98	1.33	0.2012	103
Saint-Jérôme	177	225	14857	37370	62800	55200	4.74	6.02	1.27	0.2147	84
Mirabel	133	167	12116	24795	90000	76000	5.36	6.74	1.26	0.1579	91
Saint-Hyacinthe	130	165	14314	26870	61200	54000	4.84	6.14	1.27	0.2077	110
Blainville	135	164	12243	22425	105000	88000	6.02	7.31	1.21	0.1778	91
Victoriaville	129	160	11490	21860	61200	54000	5.9	7.32	1.24	0.2016	89
Chambly	113	159	12552	12405	101000	84000	9.11	12.82	1.41	0.2389	111
Mascouche	131	155	10027	19980	93000	78000	6.56	7.76	1.18	0.1298	77
Magog	121	149	12761	13440	62400	55200	9	11.09	1.23	0.1488	105
Sainte-Julie	105	138	9444	11610	107000	89000	9.04	11.89	1.31	0.2286	90
Alma	105	137	8944	13815	67500	59600	7.6	9.92	1.3	0.2286	85
Varennes	91	130	9969	8410	103000	86000	10.82	15.46	1.43	0.1868	110
Saint-Eustache	103	128	9378	18960	80000	69000	5.43	6.75	1.24	0.1845	91
Bromont	89	121	12088	5060	100000	82000	17.59	23.91	1.36	0.236	136
Saint-Bruno-de-Montarville	90	119	13021	10450	116000	94000	8.61	11.39	1.32	0.2111	145
