prenom	clients	commandes	ventes	commandesParClient	valeurMoyenne
Julie	523	654	50580	1.25	97
Sylvie	420	622	49447	1.48	118
Isabelle	373	484	41681	1.3	112
Geneviève	316	425	36860	1.34	117
Nathalie	314	432	37009	1.38	118
Catherine	310	396	29439	1.28	95
Diane	307	407	30272	1.33	99
Louise	301	423	35528	1.41	118
Caroline	288	359	29849	1.25	104
Hélène	285	405	33140	1.42	116
Josée	279	385	31724	1.38	114
Stephanie	264	336	23475	1.27	89
Chantal	259	371	32342	1.43	125
Annie	251	325	28117	1.29	112
Nancy	248	300	17801	1.21	72
Melanie	246	302	20716	1.23	84
Christine	235	310	25287	1.32	108
David	234	283	15398	1.21	66
Linda	231	282	15915	1.22	69
Lucie	227	320	31501	1.41	139
Johanne	219	309	27808	1.41	127
Daniel	211	274	21157	1.3	100
Suzanne	209	296	21810	1.42	104
Michel	208	282	27096	1.36	130
Manon	205	269	19486	1.31	95
