cle	villePrincipale	clients	commandes	ventes	commandesParClient	tauxRecurrence	valeurMoyenne
J0K	Rawdon	693	893	68419	1.29	0.1948	99
G0A	Boischatel	466	632	58566	1.36	0.221	126
G0R	Saint-Jean-Port-Joli	382	490	37901	1.28	0.2016	99
J0T	Val-David	364	460	40456	1.26	0.1676	111
J0E	Sutton	339	454	37108	1.34	0.236	109
J0B	Austin	327	442	36185	1.35	0.2294	111
G0L	Rimouski	281	397	33348	1.41	0.2171	119
G0X	Saint-Boniface	277	373	31357	1.35	0.2094	113
J0L	Verchères	261	354	25023	1.36	0.2375	96
G1S	Québec	218	325	34380	1.49	0.2844	158
J0R	Prévost	218	300	24496	1.38	0.2798	112
G0S	Saint-Apollinaire	227	295	22472	1.3	0.207	99
J3L	Chambly	209	292	25318	1.4	0.2201	121
J4B	Boucherville	205	280	25904	1.37	0.2488	126
H1Y	Montréal	196	258	22809	1.32	0.2398	116
J0H	Acton Vale	202	256	20805	1.27	0.1832	103
G0C	Maria	197	251	18953	1.27	0.1929	96
G1J	Québec	146	230	19430	1.58	0.2945	133
G1L	Québec	170	228	20077	1.34	0.2235	118
H2R	Montréal	158	224	21076	1.42	0.2278	133
H2G	Montréal	175	222	19491	1.27	0.1886	111
J0J	Frelighsburg	161	214	14765	1.33	0.1739	92
J6E	Joliette	154	210	19160	1.36	0.1753	124
J1X	Magog	168	209	17381	1.24	0.1726	103
G1K	Québec	142	206	20870	1.45	0.2746	147
H2S	Montréal	157	204	17562	1.3	0.1911	112
G5L	Rimouski	156	204	19486	1.31	0.2179	125
G1R	Québec	142	197	19387	1.39	0.2183	137
H1X	Montréal	139	194	15949	1.4	0.2878	115
H1W	Montréal	148	194	13784	1.31	0.1892	93
G6V	Lévis	138	193	17626	1.4	0.2319	128
H2J	Montréal	132	191	15365	1.45	0.2879	116
H1V	Montréal	125	191	17818	1.53	0.312	143
G1X	Québec	123	189	18077	1.54	0.3089	147
J3H	Mont-Saint-Hilaire	143	180	14509	1.26	0.2028	101
J3V	Saint-Bruno-De-Montarville	132	175	17336	1.33	0.2348	131
J3G	Beloeil	128	174	14527	1.36	0.2266	113
G1C	Québec	127	172	15291	1.35	0.2126	120
G1G	Québec	117	171	15837	1.46	0.265	135
