rta	province	menages	revenuMedian	revenuApresImpot	clients	commandes	ventes	clientsPar1000Menages	commandesPar1000Menages
J0K	QC	67140	65000	57600	693	893	68419	10.322	13.301
G0A	QC	36330	81000	69500	466	632	58566	12.827	17.396
G0R	QC	37730	66000	58400	382	490	37901	10.125	12.987
J0T	QC	26035	62400	55200	364	460	40456	13.981	17.669
J0E	QC	23185	74000	64000	339	454	37108	14.622	19.582
J0B	QC	28140	71000	62800	327	442	36185	11.62	15.707
G0L	QC	27385	63200	56000	281	397	33348	10.261	14.497
G0X	QC	27710	65000	57600	277	373	31357	9.996	13.461
J0L	QC	33385	86000	73000	261	354	25023	7.818	10.604
G1S	QC	13655	70500	59200	218	325	34380	15.965	23.801
J0R	QC	18065	84000	71000	218	300	24496	12.068	16.607
G0S	QC	30340	75500	65500	227	295	22472	7.482	9.723
J3L	QC	21125	100000	84000	209	292	25318	9.893	13.822
J4B	QC	17290	110000	90000	205	280	25904	11.857	16.194
H1Y	QC	15215	62400	53600	196	258	22809	12.882	16.957
J0H	QC	22055	75000	66000	202	256	20805	9.159	11.607
G0C	QC	21675	61600	55200	197	251	18953	9.089	11.58
G1J	QC	13230	48400	43200	146	230	19430	11.036	17.385
G1L	QC	12770	49200	43600	170	228	20077	13.312	17.854
H2R	QC	12460	66000	56800	158	224	21076	12.681	17.978
H2G	QC	12000	60800	52400	175	222	19491	14.583	18.5
J0J	QC	17745	77000	67000	161	214	14765	9.073	12.06
J6E	QC	22010	58800	52400	154	210	19160	6.997	9.541
J1X	QC	15965	67000	58400	168	209	17381	10.523	13.091
G1K	QC	11435	50000	44000	142	206	20870	12.418	18.015
G5L	QC	14825	55200	48800	156	204	19486	10.523	13.761
H2S	QC	15060	65500	56000	157	204	17562	10.425	13.546
G1R	QC	10465	54400	47200	142	197	19387	13.569	18.825
H1W	QC	16605	56800	49600	148	194	13784	8.913	11.683
H1X	QC	15800	56800	50000	139	194	15949	8.797	12.278
G6V	QC	15915	62800	54400	138	193	17626	8.671	12.127
H1V	QC	11830	59200	51600	125	191	17818	10.566	16.145
H2J	QC	14975	70000	58800	132	191	15365	8.815	12.755
G1X	QC	12980	72000	61600	123	189	18077	9.476	14.561
J3H	QC	10800	104000	86000	143	180	14509	13.241	16.667
J3V	QC	10380	115000	94000	132	175	17336	12.717	16.859
J3G	QC	14020	91000	77000	128	174	14527	9.13	12.411
G1C	QC	16395	80000	68500	127	172	15291	7.746	10.491
G1G	QC	11210	78000	66500	117	171	15837	10.437	15.254
G0W	QC	15135	73500	65000	127	170	12920	8.391	11.232
G1W	QC	10475	79500	67500	116	166	15299	11.074	15.847
J3Y	QC	27235	86000	74000	129	165	11528	4.737	6.058
G8Y	QC	15795	68000	59600	112	163	13538	7.091	10.32
G1H	QC	14940	60800	52800	100	160	14098	6.693	10.71
J1H	QC	15595	45600	41600	127	160	13529	8.144	10.26
