id,name,status,send_time
"01K2MMTWD2SSQXXF5D223GV4Z1","Suivi précommande août","Sent","2025-08-14T16:36:42+00:00"
"01K2MBZYMP6JVGJJ2FX2HSPX2Y","Back to school #2 2025 FR","Sent","2025-08-16T11:30:00+00:00"
"01K1N4AKQ9RQEQZH96Y04E5MZH","Suivi manteaux","Sent","2025-08-02T10:21:53+00:00"
"01K1E5ECQS1R97WK7D67NGRGKV","Back to school 2025 FR","Sent","2025-08-02T12:00:00+00:00"
"01K0HAEV8EQ4KDSXM3BW842ARB","July sale EN-CA","Sent","2025-07-19T12:45:00+00:00"
"01K0H6JNJDDKNYGDKNXA79T5HQ","July sale EN-US","Sent","2025-07-19T12:45:00+00:00"
"01JZWQJMSSEQ3RMDX0SX8R0Q9H","Juillet bombes et plus 2025","Sent","2025-07-12T11:45:00+00:00"
"01JZB9XWA24PKBVPJWJ5TTZECQ","Retailles infolettre","Sent","2025-07-05T11:30:00+00:00"
"01JZ2WD4PC4DK2Z35GVKJQBCT2","RV R&D","Sent","2025-07-01T11:51:14+00:00"
"01JYPTY6NW57AF6GZPV797KGE0","(Banlieues éloignées) R&D reach out 3","Sent","2025-06-26T19:30:00+00:00"
"01JYPM0FD5SEMMHJ7P611MCZC8","(Ville QC) R&D reach out 2","Sent","2025-06-26T17:21:23+00:00"
"01JYNY6WSV1PEYP6AFK8RZR05C","Campagné été 2025 (EN) (follow-up)","Sent","2025-06-26T13:00:00+00:00"
"01JYNXQQ27DFYEJ52M7D51KT33","Campagné été 2025 (follow-up)","Sent","2025-06-28T12:00:00+00:00"
"01JY93WRPMJXX60WJ0EGXZ04ZF","Campagné été 2025 (EN)","Sent","2025-06-21T12:00:00+00:00"
"01JY7334ERX1X6TFRBMVNP4H7Z","Campagné été 2025","Sent","2025-06-21T11:45:00+00:00"
"01JY716FWSPDJAA3EWTJKB77CJ","Suivi besace","Sent","2025-06-20T16:09:02+00:00"
"01JXZE8GAK9Q8JCR5979W2MWH5","(Limoilou) R&D reach out 1","Sent","2025-06-25T16:00:59+00:00"
"01JXZ4PVT8BCG03983MXBVWG70","Email Campaign - Jun 17, 2025, 10:28 AM","Sent","2025-06-17T14:34:17+00:00"
"01JX41PPB6ZEFNKAT7HHA8QD1R","Rappel manteaux  + fin saison bombes","Sent","2025-06-07T12:00:00+00:00"
"01JWJ5AR7X9N9CVG8SGNBY4JX5","Réchauffement manteaux #3","Sent","2025-05-31T12:00:00+00:00"
"01JWE51G5NN2QFFAG2WB3Z8CYN","Réchauffement manteaux #2","Sent","2025-05-29T18:00:00+00:00"
"01JW17B7M5J3DGYKJPQHC5N5D6","Bombs APRIL 12  USA (clone) (clone)","Sent","2025-05-24T13:30:00+00:00"
"01JW15RCTTQRBD0EZZACD81G6D","Bombs APRIL 12  USA (clone)","Sent","2025-05-24T13:18:51+00:00"
"01JVGK8PCWYX3SRP7SX0RRF0KG","Réchauffement manteaux #1","Sent","2025-05-18T12:00:00+00:00"
"01JTWVF7T2WB6HRWP7FXA1CKRR","preorder summer 2025 canada","Sent","2025-05-10T13:15:00+00:00"
"01JTE20BVPV2XKS25KXR0XN34E","Précommande été 2025 (clone)","Sent","2025-05-10T12:00:00+00:00"
"01JTACT5RE6JCQVBF69J082Y82","Précommande été 2025","Sent","2025-05-03T12:00:00+00:00"
"01JS5WVDWFY54MWGFEGKQ7DV9Q","[Follow-up] Bombs APRIL 12 (clone)","Sent","2025-04-19T13:00:00+00:00"
