"id","name","status","send_time","channel"
"01KVE013N0ANFS640GVZSW59XX","Suivi prévente 2026","Sent","2026-06-20T11:00:00+00:00","email"
"01KVDD0X8TDDNCDG63ZCVQDTZS","Suivi prévente 2026 commandes","Sent","2026-06-18T18:29:37.578399+00:00","email"
"01KSZ2CG0DQ86XH07GH0XVBH43","Réchauffement prévente 2026 remerciement","Sent","2026-05-31T13:24:12.208826+00:00","email"
"01KSVFGFHWHMS8FPR1BRH1GM73","Réchauffement prévente 2026 #4","Sent","2026-05-30T11:00:00+00:00","email"
"01KSQ4N8RP8S7WVP8PKS0TBZ3F","Réchauffement prévente 2026 #3 - video cache-cou","Sent","2026-05-28T12:15:00+00:00","email"
"01KSCYFRHZFXTA6Z4SYBNCE8D1","Réchauffement prévente 2026 #2 - video doc","Sent","2026-05-24T12:45:00+00:00","email"
"01KRX1MBST6PSVYW6RME23NS76","Réchauffement prévente 2026 #1","Sent","2026-05-18T11:00:00+00:00","email"
"01KQM78PHDKB6N003P21PC2H0W","Précommande été 2026 (EN)","Sent","2026-05-02T11:55:54.698105+00:00","email"
"01KQM4YQKWG0XFXB3ZWAG6DQW0","Précommande été 2026","Sent","2026-05-02T11:30:00+00:00","email"
"01KPG8655CZG3R3FWQ7FQTSPTC","Cosmétiques prévente (clone)","Sent","2026-04-18T13:50:30.322884+00:00","email"
"01KN7K2SNSMX7XTX8D5R7TJAEV","NATIONAL PLANTING CAMPAIGN 2026","Sent","2026-04-04T12:30:00+00:00","email"
"01KN7DZKMAFVM68X5XQ2R7N8CM","(region QC) Campagne nationale plantation 2026 (clone)","Sent","2026-04-04T07:30:00+00:00","email"
"01KKM8FZ5J2WRS2FXS75J0X7N4","Milkweed planting Campaign (2026) (US)","Sent","2026-03-14T13:00:00+00:00","email"
"01KKM5DMFCP511X554CE7Y0FFC","Milkweed planting Campaign (2026)","Sent","2026-03-14T12:00:00+00:00","email"
"01KKHTVHQJMNXPHGNNRAJYK3KK","(region QC) Campagne nationale plantation 2026","Sent","2026-03-14T11:30:00+00:00","email"
"01KJTF431HHNDD4CXEJETQMZK7","erratum","Sent","2026-03-03T18:35:26.832141+00:00","email"
"01KJNE1QC99SGV2AT914NW9ETB","Tirage monarques","Sent","2026-03-01T19:56:19.676797+00:00","email"
"01KHXSSX9RMH0RWNRQ9WSEG8D2","Vente de fin de saison 2026 (#3) follow up","Sent","2026-02-21T12:30:00+00:00","email"
"01KHB6Q7GK7N6W4CBGV1C20AD4","Vente de fin de saison 2026 (#2) follow up","Sent","2026-02-14T12:30:00+00:00","email"
"01KGST4S7YYJPVRSWSKVPTXJ23","Vente de fin de saison 2026 (#2)","Sent","2026-02-07T11:30:00+00:00","email"
"01KG76EFRCXGJMSJVCM43MR33X","end of season 2026 (erratum follow-up)","Sent","2026-02-01T13:00:00+00:00","email"
"01KG76BANB11D3WK21S0SXSR96","end of season 2026 (follow-up)","Sent","2026-01-31T13:45:00+00:00","email"
"01KG767TN1SNXH8T22DFHN3BAM","Vente de fin de saison 2026 (erratum) (follow-up)","Sent","2026-02-01T12:15:00+00:00","email"
"01KG763XHRR4X77KDEVRSHN0C9","Vente de fin de saison 2026 (follow-up)","Sent","2026-01-31T12:30:00+00:00","email"
"01KG08ZDR4T9AKMDQJMB6AE9D8","yellow beanies","Sent","2026-01-27T17:47:59.767850+00:00","email"
"01KG08D41SMBX0AZDWPD9CWD3B","tuques jaunes","Sent","2026-01-27T17:45:26.637042+00:00","email"
"01KFTP9DFAENKC1GHPYJBMW6NY","end of season 2026 (clone)","Sent","2026-01-25T13:50:44.343628+00:00","email"
"01KFTNJD7WG88F2YKNQFX70G64","Vente de fin de saison 2026 (erratum)","Sent","2026-01-25T13:45:00+00:00","email"
"01KFR1HH0KN36DQGDV90T7EV5S","end of season 2026","Sent","2026-01-24T13:30:00+00:00","email"
"01KFQQCYP5VWF921DR2V6N2ZJ8","Vente de fin de saison 2026","Sent","2026-01-24T13:00:00+00:00","email"
"01KESGP9Z1Y7N6362X5XSWDDSJ","Suivi précommandes","Sent","2026-01-12T16:43:00.093664+00:00","email"
"01KECBCPWCTQA13C6VVJNT7DYN","Manteaux suivi final","Sent","2026-01-07T14:13:58.458906+00:00","email"
