id,name,created,opt_in_process,profile_count
SScQpb,"Mairie villes amies papillon monarque",2023-04-17T13:29:08+00:00,double_opt_in,52
SZ9cXM,"SMS2",2026-05-30T08:06:22+00:00,single_opt_in,20442
Stbtct,"Ville de Québec avec noms",2024-08-27T17:10:34+00:00,double_opt_in,235
Su3zhH,"SMS Subscribers",2021-08-19T15:01:55+00:00,double_opt_in,13
TUjhzc,"Facebook Lead Gen USA",2022-04-18T16:02:47+00:00,double_opt_in,3
TtpGq5,"SMS",2024-10-11T17:21:34+00:00,double_opt_in,16313
Ue5tf6,"Business Ville QC générique",2024-08-29T13:51:31+00:00,double_opt_in,597
UqV5Uh,"Client QC Speciosa",2023-05-01T17:22:37+00:00,double_opt_in,37
VEMFYt,"JdC - Acquisition courriels",2022-09-13T00:52:35+00:00,single_opt_in,1201
VTWr4w,"Newsletter Full List",2020-09-05T16:58:48+00:00,single_opt_in,32950
W4JX2p,"Médias FR",2023-06-05T19:29:18+00:00,double_opt_in,0
W9J67h,"Urbaniste villes amies papillons monarque",2023-04-17T13:30:14+00:00,double_opt_in,58
WU7pfD,"Environnement Villes amies papillon monarque",2023-04-17T13:35:32+00:00,double_opt_in,34
WX9kes,"SMS USA",2025-09-11T15:36:02+00:00,double_opt_in,5405
XGniyZ,"Preview List",2020-09-05T16:58:48+00:00,double_opt_in,2
