"campaign_id","name","channel","send_time","recipients","delivered","open_rate","click_rate","conversion_uniques","conversion_value","unsubscribe_rate","spam_rate"
"01JZB9XWA24PKBVPJWJ5TTZECQ","Retailles infolettre","email","July 05, 2025, 11:30",24636,24489,0.4698,0.00588,6,442.51,0.01045,0.00004
"01JZWQJMSSEQ3RMDX0SX8R0Q9H","Juillet bombes et plus 2025","email","July 12, 2025, 11:45",20494,20432,0.53431,0.03426,34,1928.11,0.01375,0
"01K0H6JNJDDKNYGDKNXA79T5HQ","July sale EN-US","email","July 19, 2025, 12:45",6344,6306,0.50095,0.02299,5,97.44,0.0241,0.00159
"01K0HAEV8EQ4KDSXM3BW842ARB","July sale EN-CA","email","July 19, 2025, 12:45",3378,3348,0.62993,0.03704,4,164.94,0.01792,0.0003
"01K1E5ECQS1R97WK7D67NGRGKV","Back to school 2025 FR","email","August 02, 2025, 12:00",20182,20082,0.5494,0.02296,15,1787.09,0.01509,0.00005
"01K1N4AKQ9RQEQZH96Y04E5MZH","Suivi manteaux","email","August 02, 2025, 10:21",218,215,0.92093,0.72093,0,0,0,0
"01K2MBZYMP6JVGJJ2FX2HSPX2Y","Back to school #2 2025 FR","email","August 16, 2025, 11:30",23523,23392,0.47473,0.02142,16,1848.82002,0.01077,0.00021
"01K3VM1B33E37HQ7P05V9MVPTG","Réchauffement prévente 2025 #1 FR","email","August 30, 2025, 12:00",20680,20586,0.5377,0.03187,6,702.57,0.01088,0.00015
"01K3WBN3D075B8VP7WXC2052YV","Warmup presale 2025 #1","email","August 30, 2025, 13:00",9616,9537,0.51232,0.03167,18,1322.52999,0.01531,0.00105
"01K4FBE9EXEK73MFCS6DP4XVK6","follow-up Réchauffement prévente 2025 #1 FR","email","September 06, 2025, 11:30",13106,13067,0.28155,0.01936,1,81.6,0.01592,0.00061
"01K4FBQBKCEFETQ5FZWMMRYQBJ","follow-up Warmup presale 2025 #1","email","September 06, 2025, 13:00",6126,6092,0.29547,0.01888,12,682.57001,0.00936,0.00098
"01K4FC5QGHFSN9C5272PXQ5WG1","Warm-up presale 2025 #2 EN","email","September 06, 2025, 13:15",4396,4385,0.84059,0.03238,7,283.77,0.01802,0.00068
"01K4FNF05Q4V5JYEEW6KKNFC8P","Réchauffement prévente 2025 #2","email","September 06, 2025, 14:15",10548,10543,0.8675,0.05378,8,1074.13,0.01053,0
"01K4TJR71KRRTXB925DQKJ31Z5","follow-up Réchauffement prévente 2025 #2 FR","email","September 11, 2025, 15:00",8134,8132,0.1349,0.00996,6,969.43,0.00566,0
"01K4TK8YBQRRW3Q594W2PYJAV3","follow-up Warmup presale 2025 #2","email","September 11, 2025, 15:00",3487,3471,0.14347,0.00922,2,197.29,0.00634,0.00058
"01K4TKZYJKRWVGTTMNFWYYWJ7H","Réchauffement #3 FR Prévente 2025","email","September 11, 2025, 14:30",12967,12963,0.81254,0.05277,40,6348.47003,0.01065,0.00031
"01K4V58DY7BR4B6SK4MA7XNW1Q","Warmup #3 EN presale 2025","email","September 11, 2025, 15:15",6123,6108,0.78766,0.03143,10,861.26,0.01457,0.00049
"01K4X7Q0CHJE6V54862V8W7PGP","Réchauffement #4 FR Prévente 2025","email","September 13, 2025, 11:55",21286,21275,0.53424,0.04855,177,26394.5601,0.00954,0.00009
"01K4X85QT1JD14QGZ3SC5AGREE","Warmup #4 EN presale 2025","email","September 13, 2025, 11:55",10996,10962,0.47282,0.02281,30,3524.50999,0.01523,0.00073
"01K4X56M11ZZDQ059KZCEQ9KFE","presale lasclay 2025 SMS USA","sms","September 13, 2025, 09:00",2356,2254,0,0,0,0,0.09228,0
"01K4TFMY99A0HANB9YS22N5JVB","prévente lasclay 2025 SMS","sms","September 13, 2025, 12:59",11273,10026,0,0,0,0,0.03242,0
"01JZ2WD4PC4DK2Z35GVKJQBCT2","RV R&D","email","July 01, 2025, 11:51",114,114,0.81579,0.45614,0,0,0.00877,0
"01K2MMTWD2SSQXXF5D223GV4Z1","Suivi précommande août","email","August 14, 2025, 16:36",36,36,0.91667,0,0,0,0,0
"01K5J6W1DRQECVWR86YXTMZ6FT","Précommande follow-up FR non-acheteur","email","September 20, 2025, 12:00",18826,18814,0.58441,0.03008,25,3137.05,0.00935,0.00011
"01K5M3925D1X8KJ2PGH9RYAA86","Précommande follow-up #2 FR non-acheteur","email","September 27, 2025, 12:00",10367,10357,0.28705,0.01709,4,270.11,0.00666,0.00029
"01K77620F5WQ7YZQ7E54PA0PDB","2025 (FR) Automne bandeaux etc.","email","October 11, 2025, 11:30",19755,19739,0.50545,0.01717,17,1566.68998,0.0077,0.00015
"01K7782BAX07V938MFYP5JHPQF","2025 (EN) Fall headbands etc.","email","October 11, 2025, 09:00",3906,3895,0.49884,0.02003,4,478.66,0.0095,0.00077
"01K7Q0EEBHZKBJYT9V136S0MG9","Concours automne 2025","email","October 18, 2025, 11:30",19478,19462,0.53407,0.024,23,3246.02998,0.00735,0.00005
"01K84N7TF8PQCC76T8REM00QMP","follow-up Concours automne 2025","email","October 23, 2025, 13:45",9495,9489,0.16851,0.00685,4,452.91,0.00569,0.00053
"01K8XE6FNF6QJ55MZ2FYAQ3VED","Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","email","November 01, 2025, 12:00",19297,19285,0.51766,0.01509,33,5793.16997,0.00622,0.00016
"01K8YETKNGB4JHXZNXJM035MGB","Clone Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","email","November 01, 2025, 13:00",11338,11288,0.47519,0.01577,8,909.24001,0.01302,0.00142
"01K9AD8VT2YSN3GQQCZJFQ5257","Follow-up #2 EN Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","email","November 05, 2025, 16:24",6226,6193,0.16083,0.00775,3,283.81001,0.00727,0.00113
"01K9G42RSECX50ZANA68HK7DEK","Follow-up 3 Concours automne 2025 + Imparfaits","email","November 08, 2025, 12:15",19174,19161,0.50937,0.019,46,5135.85996,0.00595,0.00016
"01K9GQJ8AGFXMMRGZCTTAWCPST","fall contest + warmup EN","email","November 08, 2025, 13:30",11473,11453,0.45944,0.01694,16,2065.86001,0.01022,0.00035
"01K9RB86W064WYAKWN42BD1ZJ0","Follow-up jeudi Concours automne 2025 + Imparfaits","email","November 13, 2025, 11:45",9982,9975,0.17133,0.00902,8,1516.07999,0.00471,0.0002
"01K9RBQ1T4PANM6ESC0A9XHCV6","Follow-up fall contest + warmup EN","email","November 13, 2025, 07:15",6535,6528,0.17479,0.00751,2,124.33,0.00735,0.00061
"01KA1DRDD4HJ44AE8PYAKWKF26","warmup EN traduit FR","email","November 15, 2025, 12:00",18975,18968,0.50348,0.0184,38,11047.92,0.00527,0.00211
"01KACBE0JZF4SACXNE33NQZYVS","Clone warmup EN traduit FR","email","November 19, 2025, 12:00",9956,9951,0.1624,0.01015,11,1798.96001,0.00573,0.00221
"01KACBFSZ034G8NG4RF4FT3217","Clone Follow-up fall contest + warmup EN","email","November 19, 2025, 12:45",5456,5444,0.12564,0.00478,4,460.13,0.00661,0.00092
"01KAMMHCGH44M4CS69MHAQ8MJQ","Concours automne 2025 + collab et matieres","email","November 22, 2025, 12:00",18045,18040,0.50576,0.01979,31,3427.54001,0.00682,0.00011
"01KAMNBT6TT2TRXNPJK3JY03GE","Clone fall contest + warmup EN","email","November 22, 2025, 13:00",10533,10520,0.44838,0.01473,7,1082.30001,0.01027,0.00076
"01KB0BK2HEWQN05N95KG0ZPS3M","follow-up mercredi Concours automne 2025 + collab et matieres","email","November 26, 2025, 15:30",10625,10620,0.20631,0.01008,11,1576.02001,0.00631,0.00028
"01KB0BNYPN4GG0T6MC70AQPAC7","Follow-up fall contest + warmup EN","email","November 26, 2025, 15:30",6103,6092,0.15069,0.00509,3,343.09,0.00952,0.00066
"01KB6QTM717TJ7Z5882ZBZNRQS","Récolte infolettre nov","email","November 29, 2025, 12:00",18742,18730,0.49525,0.01506,41,5510.78002,0.00849,0.00117
"01KBJ8Q2DGN26GMQW7DMD4BFWW","follow-up mercredi Récolte infolettre nov","email","December 03, 2025, 14:15",9929,9918,0.16394,0.01281,16,2930.11001,0.00635,0.00111
"01KBSSGSVZ5C09XM0GNQRDC5MY","Campaign Dec 6, 2025, 7:17 AM","email","December 06, 2025, 13:30",18938,18909,0.5169,0.01571,49,6002.05999,0.00635,0.00011
"01KBSWTPTCCYQ6FVC00MBYZQQ5","fin prochaine concours","email","December 06, 2025, 14:15",8894,8842,0.48032,0.01188,8,1285.07,0.0181,0.0009
"01KCBQ25N3WRDP1SBPJ0ZQWEFR","Concours automne 2025 deadline","email","December 13, 2025, 12:00",18175,18156,0.49003,0.00997,42,5589.45,0.00672,0.00033
"01KCY5EEAEQRDPZBWE7W67ZV9J","Cartes-cadeaux","email","December 20, 2025, 15:26",19613,19595,0.5134,0.0047,20,2329.71,0.00684,0.00112
"01KDFY37YXYPE5T9BGVT4JCYJ5","Boxing day","email","December 27, 2025, 13:30",18754,18738,0.52578,0.027,34,3336.71001,0.01227,0.00016
"01KFQQCYP5VWF921DR2V6N2ZJ8","Vente de fin de saison 2026","email","January 24, 2026, 13:00",20489,20436,0.54517,0.06381,90,10637.32002,0.00739,0.00005
"01KFR1HH0KN36DQGDV90T7EV5S","end of season 2026","email","January 24, 2026, 13:30",11629,11571,0.48552,0.02973,18,1668.74999,0.00769,0.00043
"01KFTNJD7WG88F2YKNQFX70G64","Vente de fin de saison 2026 (erratum)","email","January 25, 2026, 13:45",20327,20281,0.5406,0.02465,85,9340.28005,0.01006,0.00005
"01KFTP9DFAENKC1GHPYJBMW6NY","end of season 2026 (clone)","email","January 25, 2026, 13:50",11546,11490,0.49373,0.0141,10,1012.34,0.01906,0.00096
