id,name,created,updated,is_active,profile_count
QXRzba,"Newsletter English Canada",2021-04-23T14:39:50+00:00,2025-04-07T13:48:08+00:00,true,2335
T8qXdj,"LAS Customer QC (All time)",2022-03-20T17:26:39+00:00,2024-10-11T17:31:46+00:00,true,13647
TGKgFC,"Newsletter Français",2021-04-23T14:19:53+00:00,2023-11-26T22:43:52+00:00,true,13372
TPaYpu,"Newsletter English full",2025-11-18T20:40:09+00:00,2025-11-18T20:42:32+00:00,true,6058
TmJKc6,"USA South",2025-08-30T02:18:17+00:00,2025-08-30T02:19:01+00:00,true,3859
UG8xUu,"unsub + inactif",2026-03-13T15:36:36+00:00,2026-03-13T15:45:03+00:00,true,40179
UXg6uz,"LAS Customer ROC (All time)",2022-03-20T20:55:47+00:00,2024-10-11T17:40:37+00:00,true,2576
WwacXM,"Newsletter English USA",2022-03-20T21:03:02+00:00,2024-10-28T17:55:32+00:00,true,2997
XVe4iK,"Prévente",2026-06-18T12:56:20+00:00,2026-06-18T18:22:39+00:00,true,0
Y3Usnk,"Customer USA all time",2025-04-07T13:51:48+00:00,2025-04-07T13:52:31+00:00,true,8664
Yqksh2,"Export SMS USA",2025-09-11T15:40:41+00:00,2025-09-11T15:41:31+00:00,true,8231
