# Bris signalés par les clients — la part qui se versionne.
#
# Produit par « node bris_missive.js retenir <brouillon> ». Le brouillon, lui,
# ne se versionne pas : il porte les fils écartés en texte intégral. Ici il ne
# reste que les signalements retenus, et de chacun ce que le mur affiche.
#
# Les citations sont les mots du client, jamais reformulés — c'est ce qui fait
# comprendre un bris à quelqu'un qui n'a jamais tenu la pièce. Le nom, le
# courriel, le numéro de commande et le téléphone en ont été retirés.
#
#   produit   code du produit dans le MRP
#   zone      où ça casse : « couture de bretelle », « usure de la semelle »
#   citation  le client, mot pour mot, anonymisé. NE PAS reformuler.
#   photos    adresses web, séparées par une espace. Des ADRESSES, jamais des
#             fichiers : l'app n'héberge rien.
#   source    le fil Missive d'origine, opaque. C'est lui qui rend l'import
#             rejouable : corriger une ligne et relancer met à jour.
#
# 110 signalements, 80 avec photo.
produit	zone	date	citation	photos	source
BANDEAU	couture du croisement visible	2025-10-15	Bonjour, Je viens tout juste de recevoir ma commande et malheureusement l’isolant du pouce de la mitaine droite est très mal distribué. Ça fait un bloc. La couture du bandeau croisé est visible. Ça descend sur le front 😒 Dans l’attente de vos nouvelles, Merci, Le jeu. 9 oct. 2025 à 08:08, Lasclay <[courriel]> a écrit : Bonjour, je suis Gabriel, cofondateur de Lasclay. Merci tellement de ton intérêt pour notre entreprise et de ton inscription à notre infolettre! Ça me touche personnellement. Je travaille doucement sur ce projet depuis plusieurs années, sans trop faire de bruit, en me demandant	https://drive.google.com/file/d/12ZVZUr74PXLSMpaSIa92rxn-FeGtKuLy/view https://drive.google.com/file/d/1Qb_XxWnfFc64czvGqW6Hsfy-sPVujEzr/view	missive:31cfdb6a-5087-4f94-aaec-588a5064a6b2
BANDEAU	dimensions — lot produit trop petit	2024-12-20	Bonjour, Dernièrement, j’ai fait quelques achats des produits Lasclaydans deux paires de semelles, une paire de mitaines ainsi qu’un bandeau. Il y a un petit problème concernant le bandeau qui est trop petit et qui manque d’elasticité. Hier j’étais au Marché de Noël allemand à Québec, et j’ai jasé avec une représentante de Lasclay qui me disait qu’effectivement il y avait une quantité de bandeaux qui avaient été produits trop petits et que je n’avais qu’à faire la demande pour l’échanger avec les bandeaux plus grands et avec une meilleure extensibleilite.La facture portait le no.:[commande] De		missive:2c189f5b-84de-466b-b29d-7b8d7d0b7640
BESACE	déchirure après une utilisation	2026-03-12	Bonjour, Je me nomme Dubé. J’ai acheté plusieurs de vos produits dont ces deux sacs. Sur la première, la déchirure a eu lieux après une utilisation. Je n’ai pas osé utiliser ce sac par la suite par crainte qu’il s’abîme davantage. Les autres photos sont l’intérieur de la besace. Après quelques semaines d’utilisation elle n’était plus possible de l’utiliser. J’aime bien vos produits, pourriez-vous assurer les réparations ou bien échanger les sacs svp? Merci, Dubé	https://drive.google.com/file/d/1ZoyvmbV5SEExpv_DOQrBXZg0l_wwbfw8/view https://drive.google.com/file/d/1ZykVv1T7ELNDJIkg7OTyQNW295oWM8TJ/view https://drive.google.com/file/d/11zd8puKGGMV1wjPcxYnFrQFseNdf5z27/view https://drive.google.com/file/d/14rJvm_vXvZb7jcrh63c9VyTQ5vGOaJmY/view	missive:fb23e2b9-019a-4508-95f3-0c9d10645965
BESACE	couture de la doublure à l'ouverture	2025-09-11	Bonjour, Voici à quoi ressemble ma besace après quelques utilisations seulement. Vous croyez qu'il y avait un défaut de fabrication? Merci de votre retour.	https://drive.google.com/file/d/11q5DZGp00YH4aCCMsj4pgG8oOR2zkun8/view	missive:94117996-bca1-446c-a0d0-bb093342cbf6
CACHE-COU	rebord se défait	2026-06-08	Bonjour, J'ai acheté un cache-cou à mon chum pour Noël et il l'a porté à quelques reprises par grand froid (donc pas d'utilisation abusive) et le rebord se défait. Est-ce un problème connu ou est-ce que je suis tombée sur un qui était problématique? Merci de votre suivi, et sachez que mon chum adore son cache-cou. Lorsqu'il fait de la photo la nuit l'hiver, il ne jure que par ça 🙂 Bonne journée		missive:bbe81e17-0f12-46d1-a11e-f6291c9fb9af
BANDEAU	coupe — tissu mal taillé	2026-03-18	Bonjour. J'ai bien reçu ma commande hier. Toutefois, je suis un peu déçue du serre-tête, parce que le tissu a été mal taillé. Le mar. 10 mars 2026, 10 h 17 a.m., Lasclay <[courriel]> a écrit : Commande [commande] Votre commande est en route Votre commande est en transit. Suivez votre colis pour en savoir plus sur le statut de la livraison. Afficher votre commande (https://lasclay.com/_t/c/v3/AABiXEbePk0X5jdCx8JR78iFzxdgAbffwOLH8Jvrolz3mBu8Kwev1s-uEw6zfsHF4E6msHF4DKIQIk_IL94k2KfWQkQAjBdaHPPZQujk0f38OUNUarzSJ3aNXF444RIzorP7xJH9zURs2qVcmkm1SCCTXHseowpMIKVyIv1ofvX8gIYhzxzrGwIGEiaiEYJdQ41th_nTSi5YL	https://drive.google.com/file/d/17JHYoDnxis3Q5khdfMVKV3zTDEtkHAV9/view	missive:e2188631-8942-464c-99d2-5a1907a8fe7b
SEMELLE-678	glisse dans la botte et fait des bosses	2026-02-21	Bonjour Gabriel, J’ai répondu à votre sondage mais j’aimerais ajouter des commentaires concernant les produits que j’ai déjà achetés de votre compagnie. Les semelles d’hiver ne sont malheureusement pas vraiment utilisables. J’en ai acheté 4 paires mais elles glissent dans les bottes et font des bosses sous les pieds. Le cache cou est vraiment bien chaud et ne devient pas humide mais il est vraiment difficile à mettre surtout lorsqu’on porte des lunettes. J’ai donc défait la couture arrière et mis une rangée de snaps (voir photo). J’ai acheté deux paires de mitaines. La première qui est celle d	https://drive.google.com/file/d/1D4uJ1u_QSmJXvEedM5H3mj4qRQRaj3sc/view https://drive.google.com/file/d/1vnQUwrEOxMZwHKpntXQjFkNgeTNazoDs/view	missive:0daba676-1531-4ddc-b4b5-522dca686399
CACHE-COU	s’agrandit avec le temps	2026-02-21	Bonjour, Ca fait un bout que je veux vous écrire. J'adore vos cache-cou. Le 1er je dois le resserrer car il s'est agrandi avec le temps, celui que je viens d'acheter a un élastique donc plus ce problème. Par contre, j'ai acheté le bandeau et je ne peux pas le mettre car il est trop serré 😢 Quand j'ai essayé de le mettre, une couture du torsadé s'est défaite. Il va falloir que je trouve quelqu'un pour me l'agrandir. Il faudrait vraiment que vous trouviez le moyen qu'il puisse s'étirer un peu. Je ne dois pas être la seule à qui c'est arrivé. C'est dommage car il semble tenir bien au chaud.	https://drive.google.com/file/d/12emJAi3IB-ZldhtjHXXw2aGWNz29fEoO/view	missive:7303a207-9101-4807-a9dc-664b0d7438c1
CACHE-COU	couture d’un côté	2026-02-18	Hello, I just received the items from my order, number [commande]. Nearly everything is perfect, but the Milkweed Neck Warmer in Charcoal Grey has an issue with the stitching on one side. I'm attaching a photo. Is there a possibility of a refund or exchange? Thank you	https://drive.google.com/file/d/1U3cO7JzGDlgrsJBf4WolXCYieYOpS1dE/view	missive:741f6896-d63d-4d5b-a4e2-63bea8f149be
CACHE-COU	finition inégale d’une pièce à l’autre	2026-02-15	Hello, I’m writing regarding a recent order ([commande]) in which I received two neck warmers. Unfortunately, the pale grey one appears to be of noticeably poorer quality compared to the red, even though they were part of the same order and priced the same. I've attached photos for reference. The edge is roughly cut, the seam does not line up properly, and the fabric (or adhesive along the edge) already appears to be coming apart. It is also missing the logo that is present on the other neck warmer in the same order. Given these issues, the item seems defective and not consistent with the qual	https://drive.google.com/file/d/1XEWpXF0FIzHemlEBMxPem87z6BJoHn9d/view https://drive.google.com/file/d/1DggGpcegkfib4CiKRVDTAiVS5FyU7WSH/view https://drive.google.com/file/d/1xesRtbIrkuYBBGbidpxjXee-RTIAk-Qq/view https://drive.google.com/file/d/1Y6qVWeQUlP7AMaifWqQi9IfqviOl4fkw/view https://drive.google.com/file/d/14CrrRJwarsIfnG5IPl1K200SOUx3XWdB/view	missive:ebb7bd9e-94ab-4d84-8a4f-301bcac4b2d9
