# Charte des produits Lasclay — ce dont la pièce est faite.
#
# Relevé de « Charte_produits_Lasclay.pdf », le tableau que l'équipe tient
# pour la production tunisienne. Le PDF est un export basse résolution : une
# image de 328 px par carte, sans couche de texte. Le corps des fiches se lit,
# les vignettes d'étiquettes et les schémas de cotes non — ce qui manque est
# marqué « À RELIRE » plutôt que deviné.
#
# Ce fichier ne dit PAS quoi vérifier : ça, c'est qualite-charte.tsv, qui
# devient de vrais points de contrôle et remonte dans la liste obligatoire de
# chaque ordre. Ici on décrit la pièce, pour qui la fabrique.
#
# section :
#   matiere     de quoi c'est fait, face par face
#   isolant     l'asclépiade et son grammage — la ligne qui distingue deux
#               produits par ailleurs identiques
#   garniture   fermetures, sangles, élastiques, étiquettes
#   parametre   un réglage de machine : température, durée
#   note        tout le reste, y compris ce qui reste à confirmer
#
# LES UNITÉS SONT CELLES DE LA SOURCE, jamais converties dans le fichier. Les
# poids de toile sont en onces par verge carrée et les longueurs en pouces,
# parce que c'est ainsi que les fournisseurs nord-américains les écrivent — et
# qu'une donnée convertie à la saisie perd sa trace.
#
# La conversion se fait à L'AFFICHAGE, selon le réglage de chacun : l'atelier
# tunisien lit en métrique, Québec lit les fiches fournisseur en impérial.
# Voir `unites.js`.
#
# Importer : node mrp/import_charte.js --ecrire
produit	section	texte
MANTEAU-HIVER	matiere	Extérieur : shell noir de type hard shell
MANTEAU-HIVER	matiere	Intérieur : shell noir de type soft shell
MANTEAU-HIVER	matiere	Poche : shell noir de type soft shell
MANTEAU-HIVER	matiere	Col : polar
MANTEAU-HIVER	isolant	Vegeto 200 g
MANTEAU-HIVER	garniture	Fermeture éclair avant — spirale maille 5 séparable IMPERMÉABLE, taille selon le patron, curseur gauche et droit
MANTEAU-HIVER	garniture	Poche : fermeture éclair (x3)
MANTEAU-HIVER	garniture	Ajustement du capuchon : élastique rond
MANTEAU-HIVER	garniture	Velcro 3 cm
MANTEAU-HIVER	garniture	Étiquette Lasclay 1,5 x 4,5 cm
MANTEAU-3SAISONS	matiere	Extérieur : shell noir de type hard shell
MANTEAU-3SAISONS	matiere	Intérieur : toile de polyester
MANTEAU-3SAISONS	matiere	Poche : toile de polyester
MANTEAU-3SAISONS	matiere	Col : polar
MANTEAU-3SAISONS	isolant	Vegeto 150 g
MANTEAU-3SAISONS	garniture	Fermeture éclair avant — spirale maille 5 séparable, taille selon le patron, curseur gauche et droit
MANTEAU-3SAISONS	garniture	Poche : fermeture éclair (x2)
MANTEAU-3SAISONS	garniture	Boutons pressions (poche)
MANTEAU-3SAISONS	garniture	Biais
MANTEAU-3SAISONS	garniture	Étiquette Lasclay 1,5 x 4,5 cm
VESTE	matiere	Extérieur : shell noir de type hard shell
VESTE	matiere	Intérieur : toile de polyester
VESTE	matiere	Poche : toile de polyester
VESTE	matiere	Col : polar
VESTE	isolant	Vegeto 150 g
VESTE	garniture	Fermeture éclair avant — spirale maille 5 séparable, taille selon le patron, curseur gauche et droit
VESTE	garniture	Poche : fermeture éclair (x2)
VESTE	garniture	Boutons pressions (poche)
VESTE	garniture	Biais
VESTE	garniture	Étiquette Lasclay 1,5 x 4,5 cm
CHANDAIL	matiere	Extérieur : polar
CHANDAIL	matiere	Intérieur : polar
CHANDAIL	isolant	Vegeto 100 g
CHANDAIL	garniture	Fermeture éclair avant — spirale coil nylon #3, non séparable, selon le patron
CHANDAIL	garniture	Élastique rond
CHANDAIL	garniture	Cord-lock
CHANDAIL	garniture	Biais élastique (manche)
CHANDAIL	garniture	Étiquette Lasclay 1,5 x 4,5 cm
MIT-PLEIN-AIR	matiere	Extérieur : shell noir
MIT-PLEIN-AIR	matiere	Intérieur : polar
MIT-PLEIN-AIR	matiere	Patch : faux cuir
MIT-PLEIN-AIR	isolant	Vegeto 200 g
MIT-PLEIN-AIR	garniture	Élastique plat
MIT-PLEIN-AIR	garniture	Lacet plat (pour attacher les mitaines ensemble)
MIT-PLEIN-AIR	garniture	Étiquette pliée Lasclay
