produit	saison	prix_vente	cout_produit	revenu	marge_brute	marge_nette	materiaux	tissus_autres	isolant	sous_traitance	assemblage	douanes	logistique	packaging	shipping_client	autres	frais_vente_promo
Cache-cou	A26	39.99	9.13	30.86	77.18%	74.32%	4.07	2.26	1.81	5.05	3.00	1.27	0.78	1.55	-1.00	1.38	0.76
Bandeau	A26	29.99	2.44	27.55	91.86%	87.81%	0.95	0.50	0.45	1.49	0.87	0.33	0.29	1.55	0.15	0.30	0.76
Tuque sport	A26	39.99	7.11	32.88	82.22%	79.19%	1.56	1.45	0.12	5.55	3.80	1.14	0.60	1.55	0.15	0.30	0.76
Mitaines plein air	2024	99.99	14.90	85.09	85.10%	81.33%	8.63	3.23	5.34	6.27	4.00	2.27	2.03	0.61	3.68	3.00	0.76
Besace / sac à lunch	A26	44.00	25.71	18.29	41.56%		10.85	1.76	5.79	14.86	7.00	3.21	4.65	0.69	4.90	1.58	
Foulard	A26	49.99	11.19	38.80	77.61%		3.50	1.28	2.22	7.69	5.00	1.53	1.16	0.61	4.90	1.65	0.76
Coussin d'assise	A26	34.99	12.41	22.58	64.52%		5.04	0.73	2.64	7.37	4.00	1.63	1.74	0.69	4.83	1.31	
Tote bag	A26	39.99	13.89	26.10	65.28%		3.09	1.65	1.45	10.54	6.00	1.64	2.91	1.45	4.90	1.46	0.76
Semelles 6-7-8F	A26	20.99	3.54	17.45	83.16%		0.94	0.30	0.64	2.26	0.58	1.07	0.60	0.11	3.90	0.30	
Semelles 9F+	A26	20.99	3.97	17.02	81.11%		1.26	0.41	0.85	2.26	0.58	1.07	0.60	0.11	3.90	0.30	
Mitaines polar	2022	99.99	40.55	59.44	59.45%	55.69%	9.27	7.37	1.91	18.65	17.07		0.50	0.61	3.68	3.00	0.76
Gants magiques	A26	21.99	4.67	17.32	78.78%	71.25%	0.95			3.71	3.00	0.71	2.03	0.56	3.68	0.89	0.76
Manteau	2026	300.00	79.17	220.83	73.61%		33.89	17.94	15.95	44.67	28.00	5.04	11.63	0.61	3.68	8.40	0.76
Mitaines bébé 0-2	2024	39.99	7.47	32.52	81.33%		3.33	1.45	1.88	4.14	3.00	1.14	0.93	0.61	3.68	1.38	0.76
Sac de couchage 0C	2024	139.99	62.46	77.53	55.38%	51.92%	33.24	16.79	16.45	29.22		9.22	14.53	0.61	3.68	4.08	0.76
Sac de couchage -18	2024	179.99	77.21	102.78	57.10%	53.81%	45.74	16.79	28.95	31.47		11.47		0.61	3.68	5.16	0.76
Glacière	S24	99.99	41.28	58.71	58.71%		12.91	6.32	6.59	28.37	17.05		0.82	1.12	9.90	3.20	0.43
