# Cotes des patrons, prises sur la LIGNE DE COUTURE (calque 14 des DXF Lectra) : la valeur
# de couture (6,3 mm, 26 mm à l'ourlet de manchette) est déjà retirée. La cote FINIE se déduit
# de celle-ci et de l'épaisseur à plat du produit (cotes-produits.tsv) :
#   finie = couture − bords × (π/2 − 1) × épaisseur / 2
# « bords » compte les bords repliés que la cote traverse : 2 pour une largeur (les deux côtés
# s'arrondissent sur l'épaisseur), 1 pour une longueur fermée d'un seul bout (le bout des doigts,
# le bout du pouce), 0 pour ce qui ne s'aplatit pas. Couture vide = pas de cote théorique :
# elle se relève sur la pièce étalon. Tirée par patrons/mitaines/cotes.py.
# Mitaines : cotes 3, 4, 5 et 8 redéfinies le 26/09/2026 (direction, sur photos de l'atelier).
famille	num	nom	taille	couture_mm	zone	bords	tolerance
mitaines-adultes	1	Largeur hors tout, à la paume	XS	123.9	corps	2	± 3
mitaines-adultes	2	Hauteur hors tout, bout → bas de manchette	XS	273.0	corps	1	± 5
mitaines-adultes	3	Bout du pouce → bas de la mitaine, le long de la couture	XS		pouce	1	± 5
mitaines-adultes	4	Largeur du pouce à la jonction avec la main	XS	52.5	pouce	2	± 3
mitaines-adultes	5	Largeur du haut du pouce, à 1 cm sous le bout	XS	35.1	pouce	2	± 3
mitaines-adultes	6	Largeur au poignet, élastique étiré	XS	123.4	manchette	2	min
mitaines-adultes	7	Largeur du bas de manchette	XS	123.9	manchette	2	± 3
mitaines-adultes	8	Diamètre de l’ouverture, arrondie en cercle	XS	78.9	aucune	0	± 5
mitaines-adultes	1	Largeur hors tout, à la paume	S	133.4	corps	2	± 3
mitaines-adultes	2	Hauteur hors tout, bout → bas de manchette	S	293.5	corps	1	± 5
mitaines-adultes	3	Bout du pouce → bas de la mitaine, le long de la couture	S		pouce	1	± 5
mitaines-adultes	4	Largeur du pouce à la jonction avec la main	S	56.1	pouce	2	± 3
mitaines-adultes	5	Largeur du haut du pouce, à 1 cm sous le bout	S	36.2	pouce	2	± 3
mitaines-adultes	6	Largeur au poignet, élastique étiré	S	132.9	manchette	2	min
mitaines-adultes	7	Largeur du bas de manchette	S	133.4	manchette	2	± 3
mitaines-adultes	8	Diamètre de l’ouverture, arrondie en cercle	S	84.9	aucune	0	± 5
mitaines-adultes	1	Largeur hors tout, à la paume	M	143.0	corps	2	± 3
mitaines-adultes	2	Hauteur hors tout, bout → bas de manchette	M	314.1	corps	1	± 5
mitaines-adultes	3	Bout du pouce → bas de la mitaine, le long de la couture	M		pouce	1	± 5
mitaines-adultes	4	Largeur du pouce à la jonction avec la main	M	59.7	pouce	2	± 3
mitaines-adultes	5	Largeur du haut du pouce, à 1 cm sous le bout	M	37.1	pouce	2	± 3
mitaines-adultes	6	Largeur au poignet, élastique étiré	M	142.4	manchette	2	min
mitaines-adultes	7	Largeur du bas de manchette	M	142.9	manchette	2	± 3
mitaines-adultes	8	Diamètre de l’ouverture, arrondie en cercle	M	91.0	aucune	0	± 5
mitaines-adultes	1	Largeur hors tout, à la paume	L	152.5	corps	2	± 3
mitaines-adultes	2	Hauteur hors tout, bout → bas de manchette	L	334.7	corps	1	± 5
mitaines-adultes	3	Bout du pouce → bas de la mitaine, le long de la couture	L		pouce	1	± 5
mitaines-adultes	4	Largeur du pouce à la jonction avec la main	L	63.2	pouce	2	± 3
mitaines-adultes	5	Largeur du haut du pouce, à 1 cm sous le bout	L	38.1	pouce	2	± 3
mitaines-adultes	6	Largeur au poignet, élastique étiré	L	151.9	manchette	2	min
mitaines-adultes	7	Largeur du bas de manchette	L	152.4	manchette	2	± 3
mitaines-adultes	8	Diamètre de l’ouverture, arrondie en cercle	L	97.0	aucune	0	± 5
mitaines-adultes	1	Largeur hors tout, à la paume	XL	162.0	corps	2	± 3
mitaines-adultes	2	Hauteur hors tout, bout → bas de manchette	XL	355.3	corps	1	± 5
mitaines-adultes	3	Bout du pouce → bas de la mitaine, le long de la couture	XL		pouce	1	± 5
mitaines-adultes	4	Largeur du pouce à la jonction avec la main	XL	66.7	pouce	2	± 3
mitaines-adultes	5	Largeur du haut du pouce, à 1 cm sous le bout	XL	39.0	pouce	2	± 3
mitaines-adultes	6	Largeur au poignet, élastique étiré	XL	161.4	manchette	2	min
mitaines-adultes	7	Largeur du bas de manchette	XL	161.9	manchette	2	± 3
mitaines-adultes	8	Diamètre de l’ouverture, arrondie en cercle	XL	103.1	aucune	0	± 5
semelles-678	1	Longueur hors tout, talon → orteil	5F		aucune	0	± 3
semelles-678	1	Longueur hors tout, talon → orteil	6F		aucune	0	± 3
semelles-678	1	Longueur hors tout, talon → orteil	7F		aucune	0	± 3
semelles-678	1	Longueur hors tout, talon → orteil	8F		aucune	0	± 3
semelles-678	2	Largeur hors tout, au plus large	5F		aucune	0	± 2
semelles-678	2	Largeur hors tout, au plus large	6F		aucune	0	± 2
semelles-678	2	Largeur hors tout, au plus large	7F		aucune	0	± 2
semelles-678	2	Largeur hors tout, au plus large	8F		aucune	0	± 2
semelles-9	1	Longueur hors tout, talon → orteil	9F-7H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	10F-8H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	11F-9H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	12F-10H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	11H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	12H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	13H		aucune	0	± 3
semelles-9	1	Longueur hors tout, talon → orteil	14H		aucune	0	± 3
semelles-9	2	Largeur hors tout, au plus large	9F-7H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	10F-8H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	11F-9H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	12F-10H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	11H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	12H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	13H		aucune	0	± 2
semelles-9	2	Largeur hors tout, au plus large	14H		aucune	0	± 2
