fournisseur	pays	article	contact	quantite	largeur	prix_cad	prix_m	prix_kg
Tianjin Glory Tang Hi-Tech Fiber Co., Ltd.	Chine	350 kg 50% Recycled 4D 51MM Black low melt staple fiber	aurora@gtfibers.com	350 kg		1389.15		3.97
Zhengzhou Yize Machinery Co., Ltd	Chine	Staple fiber opener machine		1		1900.08		6.33
Guangzhou NTG Textile Co., Ltd.	Chine	Tissus foulards 85% viscose 15% acrylique		1200 m	63 po	4745.38	3.95	
Shanghai East Bonding Material	Chine	MESH TPU WEB 25gsm		10000 m	60 po	7385.37	0.44	
Shanghai East Bonding Material	Chine	MESH TPU WEB 25gsm		5000 m	36 po	2140.08	0.43	
Changshu Xingyan Interlining Co.	Chine	80 gsm nonwoven fabric wadding		10000 m	20 po	3690.84	0.37	
Changshu Xingyan Interlining Co.	Chine	120 gsm nonwoven fabric wadding		35 m	1 m	20.16		
Changshu Xingyan Interlining Co.	Chine	200 gsm nonwoven fabric wadding		50 m	1 m	50.40		
Dongguan Shangcheng Technology	Chine	2x presses à chaud 60 x 80 cm, 220 V monophasé		2		2366.00		
Baoding Feixiang Machinery Technology	Chine	équipement (conteneur 2023)		1 colis 160 kg				
Uline	Canada	Boîtes 10.5x16 po		1000			0.81 $/unité	
EcoEnclose	États-Unis	Boîtes 10.5x15 po non brandées		1500			1.02 $/unité	
LP Aubut	Canada	Enveloppe cartonnée rigide					1.55 $/unité	
Bmb Textile	Tunisie	sous-traitance assemblage					voir COGS	
Grada Mode	Tunisie	sous-traitance assemblage					voir COGS	
