produit	categorie	materiau	description	cout_unite	unite	consommation	cout_par_produit
Cache-cou	tissu	Knit foulard	85% viscose 15% acrylique	4.95	m	2 pads (4,80 pads/m)	2.06
Cache-cou	isolant	Vegeto 150gsm	isolant asclépiade	12.50	m (8,22 $/m²)	0,22 m²	1.81
Cache-cou	etiquette	Hot cut Labels CC + logo		0.20	unite	1	0.20
Bandeau	tissu	Viscose	coupé	4.29	m	19,20 bandeaux/m	0.45
Bandeau	isolant	Vegeto 150gsm	isolant asclépiade	12.50	m (8,22 $/m²)	0,06 m²	0.45
Bandeau	isolant	Staple fiber	4D 51mm recyclé	7.24	kg	2,00 g	0.01
Bandeau	etiquette	Woven Labels logo		0.05	unite	1	0.05
Tuque sport	tissu	Kendor brushed poly spandex	tissu int. et ext., 60 po de large	7.98	m (5,25 $/m²)	0,20 m²	1.07
Tuque sport	entoilage	Veratex entoilage noir	tricot polyester thermocollant	1.81	m (1,19 $/m²)	0,04 m²	0.05
Tuque sport	etiquette	Woven Labels Lasclay texte	Chine	0.02	unite	1	0.02
Tuque sport	isolant	Asclépiade		105.00	kg	1,00 g	0.11
Tuque sport	isolant	Staple fiber	4D 51mm recyclé	7.24	kg	1,00 g	0.01
Mitaines plein air	isolant	Asclépiade		105.00	kg	36,6 g/paire (moy.)	5.34
Mitaines plein air	fil	Fil			unite		0.06
Mitaines plein air	tissu	Tissus & autres			unite		3.23
Besace / sac à lunch	tissu	Marilite bleu	canevas intérieur, 60 po	3.60	m (2,37 $/m²)	0,40 m²	0.95
Besace / sac à lunch	tissu	Canevas coton	canevas extérieur	3.09	m (2,03 $/m²)	0,40 m²	0.81
Besace / sac à lunch	isolant	Vegeto 250gsm		22.00	m (14,47 $/m²)	0,40 m²	5.79
Besace / sac à lunch	quincaillerie	Webbing 1 po 4-Bar Panel noir	ganse	0.03	pied	6,00 pieds	0.20
Besace / sac à lunch	quincaillerie	Zipper		1.00	unite	1	1.00
Besace / sac à lunch	quincaillerie	Bandoulière		2.00	unite	1	2.00
Besace / sac à lunch	etiquette	Woven Labels	prix pour 1000	0.10	unite	1	0.10
Foulard	tissu	Knit foulard	85% viscose 15% acrylique	4.95	m (3,26 $/m²)	voir fiche	1.08
Foulard	isolant	Vegeto 150gsm		12.50	m (8,22 $/m²)	0,27 m²	2.22
Foulard	etiquette	Hot cut Labels CC + logo		0.20	unite	1	0.20
Coussin d'assise	isolant	Vegeto 200gsm		18.00	m (11,84 $/m²)	0,22 m²	2.64
