produit	quantite_prevue	prevente_2026	cout_unitaire_bmb	cout_total_bmb	cout_prod_unitaire	cout_total
Mitaines plein air	2000	37	4	8000	14.9	29807
Mitaines polar	1500	18	4	6000	11.13	16693
Mitaines de ville laine (nouveau)	200	15	5	1000	12.13	2426
Mitaines de ville cuir (nouveau)	400	45	6	2400	22.9	9161
Gant magique	2500	340	3	7500	3	7500
Mitaines pour bébé	200	5	3	600	7.47	1493
Manteau hivernal (nouveau)	150	18	28	4200	79.17	11875
Manteau 3 saisons	125	9	28	3500	79.17	9896
Veste sans manche	160	23	28	4480	79.17	12667
Combine haut - chandail polaire (nouveau)	383	108	7	2681	19.89	7618
Tuque de ville isolée	1500	30				
Tuque sport en asclépiade	700	19	4	2800	7.11	4977
Bandeau d'asclépiade	1800	31	2.5	4500	4.44	7999
Cache-cou d'asclépiade	3500	34	3	10500	9.13	31938
Foulard	600	10	5	3000	11.19	6716
Semelles intérieures isolantes	4665	113	2.5	11662.5	3.54	16491
Sac à lunch	1000	25	6	6000	19.8	19805
Besace isotherme en asclépiade	250	23	7	1750	25.71	6429
Sac isotherme tote bag	200	6	6	1200	13.89	2777
Sac bouteille de vin	0	18	12.37			0
Sac à dos glacière 30L	0	0	3.81		31.93	0
Manchon isotherme boissons	0	28	2.43			0
Étui appareils électroniques	500	18	2.5	1250	6.86	3428
Coussin d'assise thermal pliable	1200	47	4	4800	12.41	14897
Coussin pour animaux (nouveau)	150	7	9.02		9.02	1353
Oreiller de camping (nouveau)	100	34	5	500		
Oreillers	250	91				
Sleeping bag (nouveau)	100	40	20	2000	77.21	7721
