# Distillat des rétroactions clients — produit par outils/distiller.js
# ANONYME PAR CONSTRUCTION : aucun nom, adresse ou numéro de commande. La
# colonne « fil » est l'identifiant Missive, pour remonter à la source depuis
# le dépôt privé — elle n'est pas affichée dans le MRP.
cible	portee	probleme	titre	famille	date	citation	images	fil
mitaines	famille	couture	Couture décousue ou qui lâche	bris	2026-03-26	Bonjour j’ai acheter le mitaine lasclay a noël porter une dizaine de fois et le pouce a décousu est ce possible d’en ravoir une autre paire ?	e366c86d-7a03-4c68-ad41-7e75d8b00310	0079704d-13ea-4e3d-8214-1461d16eddee
tuques	famille	pas-chaud	Pas assez chaud	insatisfaction	2025-12-08	J'ai eu froid au front car il n'y a pas d'asclépiade à l'avant.	faa467be-1a47-4702-91ab-b887346f6170 7fe3a66b-9ff3-4f8d-97c8-95348c962c64 faa467be-1a47-4702-91ab-b887346f6170	009894b9-ad3e-4ebe-98c4-ecc80376effe
tuques	famille	grand	Trop grand	ajustement	2025-12-08	La tuque est trop grande et a une drôle de forme.	faa467be-1a47-4702-91ab-b887346f6170 7fe3a66b-9ff3-4f8d-97c8-95348c962c64 faa467be-1a47-4702-91ab-b887346f6170	009894b9-ad3e-4ebe-98c4-ecc80376effe
SEMELLE-678	produit	inconfort	Inconfortable	insatisfaction	2025-01-16	L’an passé j’ai offert des semelles isolantes, la critique de tous: la semelle se plisse et fait des plis pour devenir inconfortable et désagréable.		0199336c-d1d4-4667-b167-4d78c787efeb
manteaux	famille	petit	Trop petit	ajustement	2026-03-19	99$ sur le retour que j’ai fait pour un manteau trop petit.	540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee	02a90fa6-7591-44f2-be9a-353d559fb5c4
manteaux	famille	grand	Trop grand	ajustement	2026-03-19	Il manque 1 po au hanche et les manche sont beaucoup trop longues	540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee 540f2b28-3904-4ba9-8ca6-6e4416a7c0ee	02a90fa6-7591-44f2-be9a-353d559fb5c4
mitaines	famille	raide	Tissu raide, rigide ou cartonné	insatisfaction	2026-02-01	Dans mon 1er message, j'ai expliqué que mon fils préférait le modèle urbain finalement, il trouvait le modèleoriginal trop rigide!		02b20dc7-38f1-4674-ac5c-aa1ee6d95aac
mitaines	famille	petit	Trop petit	ajustement	2026-02-13	Les mitaines larges sont trop petites pour moi, il me faudrait des XL.		03f8815b-0340-40c5-9227-91a8c40a5e0a
tuques	famille	photo	Ne correspond pas à la photo ou à la description	insatisfaction	2026-02-03	Pourquoi est-ce à moi de payer les frais de retour alors qu’il s’agit de votre décision d’envoyer des articles qui ne correspond pas à ma commande initiale?		04f9d9ec-d7cb-4868-bf35-d56b51e43a7b
mitaines	famille	petit	Trop petit	ajustement	2025-12-17	J'ai donné ces mitaines XS en cadeau mais elles sont trop petites.		06067734-3785-490d-9ec3-c4fa6d9a367a
manteaux	famille	couture	Couture décousue ou qui lâche	bris	2025-11-18	Je vous écrit puisqu'une couture de mon manteau a cédé.	5c6ccd25-71cf-4ea1-a399-aafbb33b0a3b e429e4bd-4dc9-4972-9004-255a2dd8c38f c4f9a4eb-6d1e-4ca7-a7ab-b350e54728f5	065e75f6-b84e-4bc2-babc-c5f0c24944b6
MIT-PLEIN-AIR	produit	decu	Déçu de la qualité à la réception	insatisfaction	2026-01-05	Je suis très déçu car le produit a l'air vraiment de qualité.	dc76038b-96b6-4aab-b11a-1f70251bf5ea	070932b8-ea80-495b-ba4e-32aa038480f6
MIT-PLEIN-AIR	produit	grand	Trop grand	ajustement	2026-01-05	Par contre, les médiums que j'ai reçus sont vraiment trop grandes.	dc76038b-96b6-4aab-b11a-1f70251bf5ea	070932b8-ea80-495b-ba4e-32aa038480f6
SAC-LUNCH	produit	photo	Ne correspond pas à la photo ou à la description	insatisfaction	2026-01-24	Je souhaite acheter deux étuis à téléphone (couleur différente pour chacun) et une bandoulière pour le sac à lunch.		08ce1f80-b9de-4aa2-8b86-e2e29c9f4e72
mitaines	famille	grand	Trop grand	ajustement	2024-12-19	car les mitaines sont trop grandes malgré les mesures prisent.	98cc29ca-fa9d-47f6-b37a-202851fe8504 19d6dc5f-512b-4c59-ae3b-e136819adc7f	09598070-be3e-47d0-b5ff-a21f4e0f68e4
mitaines	famille	petit	Trop petit	ajustement	2025-01-10	Les mitaines trop petites seront expédiées cette semaine.	8db7fd38-daf3-4689-83f6-9b31e0afbd61 8db7fd38-daf3-4689-83f6-9b31e0afbd61	09ee078e-137f-4495-af81-ca00931561d7
GLACIERE	produit	casse-gen	Pièce cassée ou brisée (autre)	bris	2023-07-26	Ma blonde a cassé celle du dessus en voulant l’attacher.	527cae7c-5fa4-41c1-adfc-f6fe8de9f4fa 41174a0e-ad64-49ef-bd1a-b25b60834efe	0a89c2e3-db39-42d6-a28c-882bcf69d13d
tuques	famille	petit	Trop petit	ajustement	2026-02-07	De plus, la tuque est vraiment trop petite c'est comme une tuque pour jeune enfant.		0acd2078-8017-4b40-8d01-25b8d8c0ac1f
mitaines	famille	petit	Trop petit	ajustement	2026-01-10	sont vraiment trop petites .		0be3e5b7-9726-4daa-9144-94eb6f64b43a
mitaines	famille	petit	Trop petit	ajustement	2026-01-20	Aussi, l'isolant pour la cannette est trop petit.	fa48c4fb-4fb8-46c4-ad02-5fcb52f3ec18 fa48c4fb-4fb8-46c4-ad02-5fcb52f3ec18 fa48c4fb-4fb8-46c4-ad02-5fcb52f3ec18	0cc0fdcf-8c03-434a-8f3e-842047f3014c
tuques	famille	decu	Déçu de la qualité à la réception	insatisfaction	2025-03-03	C’est beaucoup trop petit pour prétendre que c’est du large, c’est vraiment très décevant, car j’ai acheté deux belles tuques de qualité, mais que je ne peux pas porter.		0e1651da-e2bf-4d45-b558-8bc0b49e278d
tuques	famille	inconfort	Inconfortable	insatisfaction	2025-03-03	Je dois vous dire que j’ai commandé des mitaines ainsi que deux tuque chez vous de modèle différent et les deux trucs pour être en sont très petites et très inconfortable.		0e1651da-e2bf-4d45-b558-8bc0b49e278d
tuques	famille	petit	Trop petit	ajustement	2025-03-03	C’est beaucoup trop petit pour prétendre que c’est du large, c’est vraiment très décevant, car j’ai acheté deux belles tuques de qualité, mais que je ne peux pas porter.		0e1651da-e2bf-4d45-b558-8bc0b49e278d
SEMELLE-9	produit	grand	Trop grand	ajustement	2023-12-22	C’est beaucoup trop grand .		0e4e3de8-f75c-4621-9f3b-979e52fd6009
manteaux	famille	grand	Trop grand	ajustement	2025-12-31	Si je procède tel que vous me le proposez, si jamais je vois que le modèle pour homme est aussi trop grand, pourrais-je me faire rembourser?		0f79d605-f408-40c3-b389-bd9c236e9a3a
mitaines	famille	pas-chaud	Pas assez chaud	insatisfaction	2026-02-12	Oui je l'avais consulté mais malgré tout c'est trop grand et j'ai froid des mains pareil.		0fa7551c-d723-4a58-826f-872470bd9517
mitaines	famille	grand	Trop grand	ajustement	2026-02-12	Les mitaines sont trop grandes.		0fa7551c-d723-4a58-826f-872470bd9517
manteaux	famille	grand	Trop grand	ajustement	2026-09-14	L’an dernier j’ai reçu le manteau que j’avais acheté en pré commande l’année précédente et malheureusement, il est beaucoup trop grand.		1049911d-ee13-42ee-b8be-d1929bb494e3
mitaines	famille	perce	Tissu percé, déchiré ou effiloché	bris	2025-08-15	J'ai reçu récemment mes mitaines de four et je viens de constater que sur l'une des mitaines la doublure en aluminium est déchirée.		107883bd-d579-4fdb-be0d-0a147cf4ad87
mitaines	famille	isolant	Isolant qui migre ou se tasse	bris	2025-08-15	De plus, j'ai constaté que l'asclépiade sort de la doublure trop mince en aluminium,		107883bd-d579-4fdb-be0d-0a147cf4ad87
SEMELLE-678	produit	couture	Couture décousue ou qui lâche	bris	2025-01-11	J'ai utilisé celles-ci une seule fois, pour aller magasiner et faire l'épicerie et le côté de la semelle gauche s'est décousu (ou décollé).	bb6a7bab-0e9e-43bc-9cdc-e553e2b86de3 aa20af3b-8d0f-4136-b3b4-88fd3347643b 4a77a8dd-cecb-44f3-a3e5-94f76f2c6904 9362af9e-1534-43bc-b11d-e6e4d0a6cf73	10e59a85-a135-4d08-8d70-42f63d9694a7
SEMELLE-678	produit	decolle	Pièce décollée (semelle, doublure, enduit)	bris	2025-01-11	J'ai utilisé celles-ci une seule fois, pour aller magasiner et faire l'épicerie et le côté de la semelle gauche s'est décousu (ou décollé).	bb6a7bab-0e9e-43bc-9cdc-e553e2b86de3 aa20af3b-8d0f-4136-b3b4-88fd3347643b 4a77a8dd-cecb-44f3-a3e5-94f76f2c6904 9362af9e-1534-43bc-b11d-e6e4d0a6cf73	10e59a85-a135-4d08-8d70-42f63d9694a7
mitaines	famille	pas-chaud	Pas assez chaud	insatisfaction	2025-12-03	Est-ce que celles d’aujourd’hui contiennent plus d’isolants que les premières parce que j’avais froid aux mains.		128d190c-d36e-40da-b944-9bca8ed89171
