produit	handle	rang	url	largeur	hauteur	texte_alternatif
2x Besace	2x-besace	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2X_BESACE.png?v=1722655013	1638	2048	Deux besaces isothermes en coton, isolées à la soie d'asclépiade, pour garder vos boissons et collations au frais.
2x Besace	2x-besace	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-GREEN-FRONT_DETAIL_094c811d-cffd-4f52-b216-60372ed136e8.png?v=1721063799	1638	2048	Deux besaces isothermes vertes en coton, isolées à la soie d'asclépiade, pour garder vos boissons au frais.
2x Besace	2x-besace	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/4.png?v=1782265390	1024	1536	Personne portant en bandoulière une besace isotherme jaune moutarde en toile de coton doublée de nylon, anses noires et étiquette Lasclay, isolée à la fibre d'asclépiade pour garder les boissons au frais.
2x Besace	2x-besace	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/3.png?v=1721397633	1024	1536	
2x Besace	2x-besace	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BEIGE-FRONT_ce374074-b2c3-49e3-89e1-95a34e6072a0.png?v=1782265390	1638	2048	Grand sac fourre-tout en toile beige caramel, anses noires et bandoulière ajustable amovible, écusson Lasclay cousu, doublure isolante à la soie d'asclépiade, sac de plage et du quotidien.
2x Besace	2x-besace	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2.png?v=1782265390	1024	1536	Homme marchant en rue porte à la main une besace isotherme noire en toile de coton doublée de nylon, anses et logo Lasclay, isolée à la soie d'asclépiade pour garder les boissons fraîches.
2x Besace	2x-besace	7	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/1.png?v=1721397633	1024	1536	
2x Besace	2x-besace	8	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2a21c686-a982-45ed-9737-a914defcbc67_1.jpg?v=1722654483	768	1024	Quatre besaces isothermes en coton, isolées à la soie d'Amérique, pour garder vos boissons et collations au frais.
2x Sac Lunch	2x-sac-lunch	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/combo_2x_5ea15a01-7c09-424a-a153-d67f929da711.png?v=1722651329	1638	2048	
2x Sac Lunch	2x-sac-lunch	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCH_BOX_-_45_FRONT_C_-_GREEN.png?v=1782265451	1638	2048	Sac à lunch isotherme Lasclay en toile de coton vert kaki fermé, vu de trois quarts, rabat enroulable à boucle et étiquette cousue, doublure imperméable en PVC isolée à la soie d'asclépiade.
