id	titre	handle	statut	type	tags	stock_total	url_boutique	variantes	images	collections	cree_le	maj_le
8652407767259	2x Besace	2x-besace	DRAFT			17		36	8	Rentrée 24 - Combos Besaces et Sacs à Lunch	2024-08-03	2026-08-18
8652340625627	2x Sac Lunch	2x-sac-lunch	DRAFT			88		36	12	Rentrée 24 - Combos Besaces et Sacs à Lunch	2024-08-02	2026-08-23
8652418187483	4x Besace	4x-besace	DRAFT			-50		90	6	Rentrée 24 - Combos Besaces et Sacs à Lunch	2024-08-03	2026-08-18
8652341379291	4x Sac Lunch	4x-sac-lunch	DRAFT			52		90	10	Rentrée 24 - Combos Besaces et Sacs à Lunch	2024-08-02	2026-08-23
8636711403739	6 Illustrations Asclépiade et Monarques	illustrations-asclepiade-monarque	ARCHIVED			19		1	3	Combos promotionnels	2024-07-18	2026-06-27
6148261544098	Asclépiade 01 - Illustration 8x10	asclepias-01-print-8x10	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	19	https://lasclay.com/products/asclepias-01-print-8x10	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2021-02-17	2026-07-30
6149278630050	Asclépiade 02 - Illustration 8x10	asclepias-02-print-8x10	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	19	https://lasclay.com/products/asclepias-02-print-8x10	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2021-02-18	2026-07-30
6149293015202	Asclépiade 03 - Illustration 8x10	asclepias-03-print-8x10	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	24	https://lasclay.com/products/asclepias-03-print-8x10	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2021-02-18	2026-07-30
6149324243106	Asclépiade 04 - Illustration 8x10	asclepias-04-print-8x10	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	22	https://lasclay.com/products/asclepias-04-print-8x10	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2021-02-18	2026-07-30
6149345542306	Asclépiade 05 - Illustration 8x10	asclepias-05-print-8x10	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	20	https://lasclay.com/products/asclepias-05-print-8x10	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2021-02-18	2026-07-30
8682252697819	Bague Aile de monarque - Vente finale	bague-aile-monarque	ACTIVE			1	https://lasclay.com/products/bague-aile-monarque	9	4	Produits;Été + Tous les jours;Collaborations;Produits (no garden)	2024-09-06	2026-08-19
7826240635099	Bandeau	headband	ACTIVE		Product-Collection-All;Winter	-13	https://lasclay.com/products/headband	2	6	Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Produits d'asclépiade du printemps;Tuques et bandeaux;Bandeaux;Produits (no garden)	2022-09-11	2026-08-19
9005728399579	Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	ACTIVE		Product-Collection-All;Winter	189	https://lasclay.com/products/bandeau-copy	5	9	Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Produits d'asclépiade du printemps;Tuques et bandeaux;Bandeaux;Produits (no garden)	2025-10-08	2026-08-25
9009100849371	Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	DRAFT			945		25	6	Bandeaux	2025-10-10	2026-08-25
8785371824347	Bandeau torsadé IMPARFAIT	bandeau-torsade-imparfait	DRAFT		Product-Collection-All	0		1	4	Vente fin de saison: Hiver;All Products;Produits d'asclépiade du printemps;Tuques et bandeaux;Les Imparfaits;Produits (no garden)	2025-01-19	2026-07-18
8517637570779	Besace isotherme en asclépiade	besace	ACTIVE		Product-Collection-All;Summer	23	https://lasclay.com/products/besace	6	9	Produits;All Products;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2024-05-21	2026-08-19
9137166713051	Besace isotherme en asclépiade IMPARFAIT	besace-isotherme-en-asclepiade-imparfait	DRAFT		Product-Collection-All;Summer	0		6	9	All Products;Pour l'été;BFCM;Les Imparfaits;Produits (no garden)	2026-02-05	2026-08-18
