produit	handle	variante_id	titre_variante	sku	prix	prix_compare	cout_unitaire	stock	suivi_stock	poids	unite_poids
2x Besace	2x-besace	45923800907995	Jaune ambré / Jaune ambré		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923800940763	Jaune ambré / Noir		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923800973531	Jaune ambré / Vert forêt		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801006299	Jaune ambré / Cassonade		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801039067	Jaune ambré / Rouge fraise		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801071835	Jaune ambré / Rose pastel		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801104603	Noir / Jaune ambré		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801137371	Noir / Noir		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801170139	Noir / Vert forêt		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801202907	Noir / Cassonade		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801235675	Noir / Rouge fraise		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801268443	Noir / Rose pastel		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801301211	Vert forêt / Jaune ambré		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801333979	Vert forêt / Noir		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801366747	Vert forêt / Vert forêt		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801399515	Vert forêt / Cassonade		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801432283	Vert forêt / Rouge fraise		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801465051	Vert forêt / Rose pastel		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801497819	Cassonade / Jaune ambré		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801530587	Cassonade / Noir		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801563355	Cassonade / Vert forêt		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801596123	Cassonade / Cassonade		134.99			2	oui	0	GRAMS
2x Besace	2x-besace	45923801628891	Cassonade / Rouge fraise		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801661659	Cassonade / Rose pastel		134.99			2	oui	0	GRAMS
2x Besace	2x-besace	45923801694427	Rouge fraise / Jaune ambré		134.99			-1	oui	0	GRAMS
2x Besace	2x-besace	45923801727195	Rouge fraise / Noir		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801759963	Rouge fraise / Vert forêt		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801792731	Rouge fraise / Cassonade		134.99			0	oui	0	GRAMS
2x Besace	2x-besace	45923801825499	Rouge fraise / Rouge fraise		134.99			0	oui	0	GRAMS
