province,mois,ventes_nettes,frais_expedition,ventes_totales,taxes_totales_shopify,pst_calcule,assiette_taxable,pst_qbo,ecart
BC,2025-01,102.0,0,102.0,12.24,7.14,102.0,7.14,0.0
BC,2025-02,173.29,0,173.29,20.8,12.13,173.29,12.12,0.01
BC,2025-03,423.82,11.98,435.8,52.33,30.53,436.14,30.53,0.0
BC,2025-04,1261.63,65.89,1327.52,159.39,92.98,1328.29,92.95,0.03
BC,2025-05,853.5,37.94,891.44,107.04,62.44,892.0,62.43,0.01
BC,2025-06,59.97,6.99,66.96,8.04,4.69,67.0,4.69,0.0
BC,2025-07,79.97,3.98,83.95,10.08,5.88,84.0,5.88,0.0
BC,2025-08,124.97,7.99,132.96,15.96,9.31,133.0,9.31,0.0
BC,2025-09,721.56,50.93,772.49,92.71,54.08,772.57,54.08,0.0
BC,2025-10,1288.23,22.97,1311.2,157.38,91.8,1311.43,91.8,0.0
BC,2025-11,838.02,11.96,849.98,102.03,59.52,850.29,59.51,0.01
BC,2025-12,735.8,63.9,799.7,94.8,55.3,790.0,55.3,0.0
BC,2026-01,667.37,2.99,670.36,80.47,46.94,670.57,46.94,0.0
BC,2026-02,152.97,0,152.97,18.36,10.71,153.0,10.71,0.0
BC,2026-03,106.96,7.98,114.94,13.82,8.06,115.14,,
BC,2026-04,54.87,19.95,74.82,9.0,5.25,75.0,5.25,0.0
BC,2026-05,4382.84,288.47,4671.31,11.86,6.92,98.86,6.92,0.0
BC,2026-06,51.0,8.0,59.0,7.08,4.13,59.0,4.13,0.0
BC,2026-07,-17.97,-5.97,-23.94,-2.88,-1.68,-24.0,-1.68,0.0
BC,2026-08,-51.0,-9.99,-60.99,-7.32,-4.27,-61.0,-4.27,0.0
SK,2025-01,83.71,9.5,93.21,10.27,5.6,93.33,5.6,0.0
SK,2025-02,169.5,0,169.5,18.66,10.18,169.67,10.17,0.01
SK,2025-03,225.62,0,225.62,24.82,13.54,225.67,13.54,0.0
SK,2025-04,592.52,35.94,628.46,69.16,37.72,628.67,37.71,0.01
SK,2025-05,140.57,5.99,146.56,16.14,8.8,146.67,8.8,0.0
SK,2025-06,196.95,0,196.95,21.67,11.82,197.0,11.82,0.0
SK,2025-07,0,0,0,0,0.0,0.0,0.0,0.0
SK,2025-08,0,0,0,0,0.0,0.0,0.0,0.0
SK,2025-09,179.18,2.99,182.17,20.05,10.94,182.33,10.94,0.0
SK,2025-10,78.98,9.99,88.97,9.79,5.34,89.0,5.34,0.0
SK,2025-11,432.43,12.98,445.41,49.01,26.73,445.5,26.73,0.0
SK,2025-12,1056.74,60.9,1117.64,122.98,67.08,1118.0,67.08,0.0
SK,2026-01,301.92,22.97,324.89,35.75,19.5,325.0,19.5,0.0
SK,2026-02,0,0,0,0,0.0,0.0,0.0,0.0
SK,2026-03,19.99,3.99,23.98,2.64,1.44,24.0,,
SK,2026-04,34.99,6.99,41.98,4.62,2.52,42.0,2.52,0.0
SK,2026-05,0,0,0,0,0.0,0.0,0.0,0.0
SK,2026-06,0,0,0,0,0.0,0.0,0.0,0.0
SK,2026-07,0,0,0,0,0.0,0.0,0.0,0.0
SK,2026-08,0,0,0,0,0.0,0.0,0.0,0.0
MB,2025-01,0,0,0,0,0.0,0.0,0.0,0.0
MB,2025-02,118.29,0,118.29,14.19,8.28,118.29,8.27,0.01
MB,2025-03,192.62,0,192.62,23.13,13.49,192.71,13.49,0.0
MB,2025-04,266.35,0,266.35,31.97,18.65,266.43,18.64,0.01
MB,2025-05,294.84,11.98,306.82,36.83,21.48,306.86,21.48,0.0
MB,2025-06,16.98,0,16.98,0.84,0.49,7.0,0.49,0.0
MB,2025-07,0,0,0,0,0.0,0.0,0.0,0.0
MB,2025-08,109.99,0,109.99,13.2,7.7,110.0,7.7,0.0
MB,2025-09,46.9,2.99,49.89,5.99,3.49,49.86,3.49,0.0
MB,2025-10,116.98,0,116.98,14.04,8.19,117.0,8.19,0.0
MB,2025-11,720.86,12.98,733.84,88.08,51.38,734.0,51.38,0.0
MB,2025-12,2309.5,90.87,2400.37,288.12,168.07,2401.0,168.07,0.0
MB,2026-01,420.94,2.99,423.93,50.88,29.68,424.0,29.68,0.0
MB,2026-02,0,0,0,0,0.0,0.0,0.0,0.0
MB,2026-03,0,0,0,0,0.0,0.0,,
MB,2026-04,0,0,0,0,0.0,0.0,0.0,0.0
MB,2026-05,0,0,0,0,0.0,0.0,0.0,0.0
MB,2026-06,0,0,0,0,0.0,0.0,0.0,0.0
MB,2026-07,0,0,0,0,0.0,0.0,0.0,0.0
MB,2026-08,104.97,0,104.97,12.6,7.35,105.0,7.35,0.0
